feature_id,species_id,cite_id,citation_name,,,,,,,,,,,,,,,,,,
1,Aethiacristatella,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
1,Aethiacristatella,,Piatt et al 1990,,,,,,,,,,,,,,,,,,
1,Aethiacristatella,,Jones 1993b,,,,,,,,,,,,,,,,,,
1,Aethiacristatella,,Gaston and Jones 1998,,,,,,,,,,,,,,,,,,
2,Aethiapsittacula,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
2,Aethiapsittacula,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
2,Aethiapsittacula,,Nettleship 1996,,,,,,,,,,,,,,,,,,
3,Aethiapusilla,,Roby and Brink 1986,,,,,,,,,,,,,,,,,,
3,Aethiapusilla,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
3,Aethiapusilla,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
3,Aethiapusilla,,Jones and Montgomerie 1991,,,,,,,,,,,,,,,,,,
3,Aethiapusilla,,Jones 1993a,,,,,,,,,,,,,,,,,,
4,Aethiapygmaea,,Byrd and Williams 1993b,,,,,,,,,,,,,,,,,,
4,Aethiapygmaea,,Nettleship 1996,,,,,,,,,,,,,,,,,,
4,Aethiapygmaea,,Hunter et al 2002,,,,,,,,,,,,,,,,,,
5,Alcatorda,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
5,Alcatorda,,Harris and Wanless 1989,,,,,,,,,,,,,,,,,,
5,Alcatorda,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
5,Alcatorda,,Gaston and Jones 1998,,,,,,,,,,,,,,,,,,
5,Alcatorda,,Lavers et al 2008,,,,,,,,,,,,,,,,,,
5,Alcatorda,,Bryant and Furness 1995,,,,,,,,,,,,,,,,,,
6,Allealle,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
6,Allealle,,Gaston and Jones 1998,,,,,,,,,,,,,,,,,,
6,Allealle,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
7,Brachyramphusbrevirostris,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
7,Brachyramphusbrevirostris,,Nettleship 1996,,,,,,,,,,,,,,,,,,
7,Brachyramphusbrevirostris,,Day et al 1999,,,,,,,,,,,,,,,,,,
8,Brachyramphusmarmoratus,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
8,Brachyramphusmarmoratus,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
8,Brachyramphusmarmoratus,,Nelson and Hamer 1995,,,,,,,,,,,,,,,,,,
8,Brachyramphusmarmoratus,,Nelson 1997,,,,,,,,,,,,,,,,,,
8,Brachyramphusmarmoratus,,Parker et al 2004,,,,,,,,,,,,,,,,,,
8,Brachyramphusmarmoratus,,Beissinger 1995,,,,,,,,,,,,,,,,,,
9,Brachyramphusperdix,,Nettleship 1996,,,,,,,,,,,,,,,,,,
10,Cepphuscarbo,,Harrison 1983,,,,,,,,,,,,,,,,,,
10,Cepphuscarbo,,Nettleship 1996,,,,,,,,,,,,,,,,,,
11,Cepphuscolumba,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
11,Cepphuscolumba,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
11,Cepphuscolumba,,Ewins 1993,,,,,,,,,,,,,,,,,,
11,Cepphuscolumba,,Vermeer et al 1993,,,,,,,,,,,,,,,,,,
11,Cepphuscolumba,,BBL,,,,,,,,,,,,,,,,,,
12,Cepphusgrylle,,Petersen 1981,,,,,,,,,,,,,,,,,,
12,Cepphusgrylle,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
12,Cepphusgrylle,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
12,Cepphusgrylle,,BBL,,,,,,,,,,,,,,,,,,
13,Cerorhincamonocerata,,Watanuki 1987,,,,,,,,,,,,,,,,,,
13,Cerorhincamonocerata,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
13,Cerorhincamonocerata,,Gaston and Jones 1998,,,,,,,,,,,,,,,,,,
13,Cerorhincamonocerata,,Gaston and Dechesne 1996,,,,,,,,,,,,,,,,,,
13,Cerorhincamonocerata,,BBL,,,,,,,,,,,,,,,,,,
14,Fraterculaarctica,,Ashcroft 1979,,,,,,,,,,,,,,,,,,
14,Fraterculaarctica,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
14,Fraterculaarctica,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
14,Fraterculaarctica,,Bryant and Furness 1995,,,,,,,,,,,,,,,,,,
14,Fraterculaarctica,,BBL,,,,,,,,,,,,,,,,,,
14,Fraterculaarctica,,Breton and Diamond 2014,,,,,,,,,,,,,,,,,,
15,Fraterculacirrhata,,Harrison 1983,,,,,,,,,,,,,,,,,,
15,Fraterculacirrhata,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
15,Fraterculacirrhata,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
15,Fraterculacirrhata,,Nettleship 1996,,,,,,,,,,,,,,,,,,
16,Fraterculacorniculata,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
16,Fraterculacorniculata,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
16,Fraterculacorniculata,,Nettleship 1996,,,,,,,,,,,,,,,,,,
17,Pinguinusimpennis,,Montevecchi and Kirk 1996,,,,,,,,,,,,,,,,,,
18,Ptychoramphusaleuticus,,Croxall and Gaston 1988,,,,,,,,,,,,,,,,,,
18,Ptychoramphusaleuticus,,Ydenberg 1989,,,,,,,,,,,,,,,,,,
18,Ptychoramphusaleuticus,,Manuwal and Thoresen 1993,,,,,,,,,,,,,,,,,,
18,Ptychoramphusaleuticus,,Manuwal 1974,,,,,,,,,,,,,,,,,,
18,Ptychoramphusaleuticus,,Sydeman et al 1996,,,,,,,,,,,,,,,,,,
18,Ptychoramphusaleuticus,,Bertram D. et al pers. comm.,,,,,,,,,,,,,,,,,,
