order,family,genus,species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,female_mass_mean,female_mass_upper,female_mass_lower,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,breeding_dist,nest_locations,clutch_size_mean,clutch_size_lower,cluth_size_upper,clutch_size_uncertainty,clutch_interval,hatchling_type,incubation_mean,incubation_period_lower,incubtaion_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,coloniality,citation
CHARADRIIFORMES,ALCIDAE,Ptychoramphus,aleuticus,Ptychoramphus aleuticus,,Cassin's Auklet,,,,,,LC,,2012,decreasing,0.19,,,,0.19,,,,"SP,Tm","Bu,Cr",1,,,,D,SP,39,37,57,,46,41,50,,,,,,0,,,,3,1,4,,"NS,OS",44,,,,16,,,,75,,,,,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,antiquus,Synthliboramphus antiquus,,Ancient Murrelet,,,,,,LC,,2012,decreasing,0.206,,,,0.206,,,,Tm,"Bu,O",2,1,2,,,P,32.7,29,37,,2,1,4,,,,,,30,,,,3,2,4,,"NS,OS",45,,,,,,,,77,,,,,
CHARADRIIFORMES,ALCIDAE,Cepphus,columba,Cepphus columba,,Pigeon Guillemot,,,,,,LC,,2012,stable,,0.45,0.55,,,0.45,0.55,,"SP,Tm","Cr,BU",2,1,2,,,SP,29,26,32,,40,35,54,,,10,20,,0,,,,3,,,,NS,58,,,,14,,,,80,,,,,
CHARADRIIFORMES,ALCIDAE,Aethia,pusilla,Aethia pusilla,,Least Auklet,,,,,,LC,,2012,decreasing,0.084,,,,0.084,,,,"SP,Tm",Cr,1,,,,,SP,30.1,25,39,,28.6,,,,6,,,,0,,,,3,,,,"NS,OS",33,,,,,,,,80.8,,,,,
CHARADRIIFORMES,ALCIDAE,Cepphus,grylle,Cepphus grylle,,Black Guillemot,,,,,,LC,,2012,increasing,0.43,0.3,0.53,,0.43,0.37,0.5,,P-Tm,"Bu,O",2,,,,,SP,29,,,,36.5,34,39,,13.8,,,,0,,,,3,3,4,,NS,,,,,13,,,,87,,,,,
CHARADRIIFORMES,ALCIDAE,Aethia,cristatella,Aethia cristatella,,Crested Auklet,,,,,,LC,,2012,decreasing,0.26,,,,0.26,,,,"SP,Tm",Cr,1,,,,,SP,33.8,29,40,,33.2,27,36,,,11,13,,0,,,,3,,,,"NS,OS",48,,,,,,,,89,,,,,
CHARADRIIFORMES,ALCIDAE,Fratercula,arctica,Fratercula arctica,,Atlantic Puffin,,,,,,LC,,2012,decreasing,0.51,0.31,0.27,,0.48,0.31,0.57,,Tm,Bu,1,,,,,SP,42,,,,39,,,,11.2,,,,0,,,,6,,,,"NS,OS",55,,,,32,,,,94.2,,,,,
CHARADRIIFORMES,ALCIDAE,Uria,aalge,Uria aalge,,Common Murre, Guillemot, Common Murre,,,,LC,,2012,increasing,1.1,0.87,1.3,,1,0.83,1.3,,Tm,CI,1,,,,,SP,33,,,,21.5,18,25,,11.4,,,,,,,yes,(4-5),4,5,,"NS,OS",73,,,,26,,,,,87,95,,,
CHARADRIIFORMES,ALCIDAE,Alca,torda,Alca torda,,Razorbill,,,,,,LC,,2012,increasing,0.72,,,,0.72,,,,Tm,"Cr,CI",1,,,,,SP,35,,,,22.5,15,30,,12.3,,,,,,,,4,4,5,,NS,66,,,,,,,,,88,90,,,
CHARADRIIFORMES,ALCIDAE,Uria,lomvia,Uria lomvia,,Thick-billed Murre, Brunnich's Guillemot,,,,,LC,,2012,increasing,1,0.76,1.2,,0.99,0.84,1.2,,P-Tm,"CI,Cr",1,,,,,SP,33,31,36,,22.5,15,30,,11.5,,,,,30,60,,4,4,5,,"NS,OS",,,,,29,,,,,89,90,,,
CHARADRIIFORMES,ALCIDAE,Cerorhinca,monocerata,Cerorhinca monocerata,,Rhinoceros Auklet,,,,,,LC,,2012,decreasing,0.456,,,,0.51,,,,SP-STr,Bu,1,,,,,SP,44.9,39,52,,,50,60,,10,,,,0,,,,3,,,,"NS,OS",62,,,,10,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,hypoleucus,Synthliboramphus hypoleucus,,Guadalupe Murrelet,,,,,,EN,"B2ab(iv,v)",2014,decreasing,0.17,,,,0.17,,,,STr,Cr,2,1,2,,,P,34,27,44,,2,1,4,,,,,,,,,yes,3,2,3,,OS,42,,,,15,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,craveri,Synthliboramphus craveri,Brachyramphus craveri craveri|Brachyramphus craveri craveri,Craveri's Murrelet,,,,,,VU,"B2ab(iii,v);C2a(ii)",2012,decreasing,0.15,,,,0.15,,,,STr,Cr,2,,,,,P,,,,,2,,,,,,,,,,,yes,,,,,,41,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Brachyramphus,marmoratus,Brachyramphus marmoratus,,Marbled Murrelet,,,,,,EN,A2bc+3bc+4bc,2012,decreasing,0.22,,,,0.22,,,,Tm,T,1,,,,,SP,29,,,,33.5,27,40,,,,,,,,,,3,,,,"NS,OS",44,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Aethia,psittacula,Aethia psittacula,Cyclorrhynchus psittacula psittacula|Cyclorrhynchus psittacula psittacula,Parakeet Auklet,,,,,,LC,,2012,decreasing,0.26,,,,0.26,,,,Tm,O,1,,,,,,35,,,,35,,,,10.6,,,,0,,,,,,,,,50,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Fratercula,corniculata,Fratercula corniculata,,Horned Puffin,,,,,,LC,,2012,decreasing,0.62,,,,0.62,,,,Tm,Bu,1,,,,,SP,,,,,38,,,,11.1,,,,0,,,,,,,,OS,61,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Fratercula,cirrhata,Fratercula cirrhata,Lunda cirrhata ,Tufted Puffin,,,,,,LC,,2012,decreasing,0.78,,,,0.78,,,,Tm,Bu,1,,,,,,,,,,,47,55,,16.1,,,,,,,,,,,,OS,66,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Aethia,pygmaea,Aethia pygmaea,,Whiskered Auklet,,,,,,LC,,2012,decreasing,0.12,,,,0.12,,,,Tm,Cr,1,,,,,SP,35.5,,,,40.5,39,42,,,,,,,,,,3,,,,NS,,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Alle,alle,Alle alle,,Little Auk, Dovekie,,,,,LC,,2012,decreasing,0.16,,,,0.16,,,,P,"CI,Cr",1,,,,,SP,29,,,,27.5,,,,6.5,,,,0,,,,5,,,,"NS,OS",,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,Pinguinus impennis,,Great Auk,,,,,,EX,,2012,,,,,,,,,,Tm,O,1,,,,,SP,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Brachyramphus,perdix,Brachyramphus perdix,,Long-billed Murrelet,,,,,,NT,,2012,decreasing,,,,,,,,,,T,1,,,,,SP,,,,,,27,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Brachyramphus,brevirostris,Brachyramphus brevirostris,,Kittlitz's Murrelet,,,,,,NT,,2014,decreasing,,0.224,0.243,,,0.224,0.243,,Tm,O,1,,,,,SP,30,,,?,24,,,?,,,,,,,,?,,,,,NS,,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,wumizusume,Synthliboramphus wumizusume,,Japanese Murrelet, Crested Murrelet,,,,,VU,A2cde+3cde+4cde;C2a(ii),2012,decreasing,0.183,,,,0.183,,,,Tm,"Cr,Bu",2,1,2,,,P,,32,33,,2,,,,,,,,30,,,c,,,,,NS+,,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Cepphus,carbo,Cepphus carbo,,Spectacled Guillemot,,,,,,LC,,2012,decreasing,,,,,,,,,Tm,,,1,2,,,SP,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,scrippsi,Synthliboramphus scrippsi,,Scripps's Murrelet,,,,,,VU,"B2ab(iv,v)",2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULIFORMES,ANHINGIDAE,Anhinga,anhinga,Anhinga anhinga,,Anhinga,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULIFORMES,ANHINGIDAE,Anhinga,melanogaster,Anhinga melanogaster,,Oriental Darter, Darter, African Darter,,,,NT,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULIFORMES,ANHINGIDAE,Anhinga,novaehollandiae,Anhinga novaehollandiae,,Australasian Darter,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULIFORMES,ANHINGIDAE,Anhinga,rufa,Anhinga rufa,,African Darter, Darter,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Agamia,agami,Agamia agami,,Agami Heron,,,,,,VU,A3c,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,alba,Ardea alba,Ardea alba|Ardea alba|Ardea alba|Casmerodius albus|Egretta alba|Egretta alba|Egretta alba|Egretta alba,Great White Egret, Great White Heron, Great White Egret,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,brachyrhyncha,Ardea brachyrhyncha,,Yellow-billed Egret,,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,cinerea,Ardea cinerea,,Grey Heron, Gray Heron,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,cocoi,Ardea cocoi,,Cocoi Heron,,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
