Order,Family,Genus,Species,Synonyms,Common_names
CHARADRIIFORMES,ALCIDAE,Aethia,cristatella,,Crested Auklet
CHARADRIIFORMES,ALCIDAE,Aethia,psittacula,Cyclorrhynchus psittacula psittacula|Cyclorrhynchus psittacula psittacula,Parakeet Auklet
CHARADRIIFORMES,ALCIDAE,Aethia,pusilla,,Least Auklet
CHARADRIIFORMES,ALCIDAE,Aethia,pygmaea,,Whiskered Auklet
CHARADRIIFORMES,ALCIDAE,Alca,torda,,Razorbill
CHARADRIIFORMES,ALCIDAE,Alle,alle,,"Little Auk, Dovekie"
CHARADRIIFORMES,ALCIDAE,Brachyramphus,brevirostris,,Kittlitz's Murrelet
CHARADRIIFORMES,ALCIDAE,Brachyramphus,marmoratus,,Marbled Murrelet
CHARADRIIFORMES,ALCIDAE,Brachyramphus,perdix,,Long-billed Murrelet
CHARADRIIFORMES,ALCIDAE,Cepphus,carbo,,Spectacled Guillemot
CHARADRIIFORMES,ALCIDAE,Cepphus,columba,,Pigeon Guillemot
CHARADRIIFORMES,ALCIDAE,Cepphus,grylle,,Black Guillemot
CHARADRIIFORMES,ALCIDAE,Cerorhinca,monocerata,,Rhinoceros Auklet
CHARADRIIFORMES,ALCIDAE,Fratercula,arctica,,"Atlantic Puffin, Puffin"
CHARADRIIFORMES,ALCIDAE,Fratercula,cirrhata,Lunda cirrhata ,Tufted Puffin
CHARADRIIFORMES,ALCIDAE,Fratercula,corniculata,,Horned Puffin
CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,,Great Auk
CHARADRIIFORMES,ALCIDAE,Ptychoramphus,aleuticus,,Cassin's Auklet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,antiquus,,Ancient Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,craveri,Brachyramphus craveri craveri|Brachyramphus craveri craveri,Craveri's Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,hypoleucus,,Guadalupe Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,scrippsi,,Scripps's Murrelet
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,wumizusume,,"Japanese Murrelet, Crested Murrelet"
CHARADRIIFORMES,ALCIDAE,Uria,aalge,,"Common Murre, Guillemot, Common Murre"
CHARADRIIFORMES,ALCIDAE,Uria,lomvia,,"Thick-billed Murre, Thick-billed Murre, Brünnich's Guillemot"
CHARADRIIFORMES,BURHINIDAE,Burhinus,bistriatus,,Double-striped Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,capensis,,"Spotted Thick-knee, Spotted Dikkop"
CHARADRIIFORMES,BURHINIDAE,Burhinus,grallarius,,"Bush Thick-knee, Bush Stone-curlew"
CHARADRIIFORMES,BURHINIDAE,Burhinus,indicus,,Indian Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,oedicnemus,,"Eurasian Thick-knee, Stone Curlew"
CHARADRIIFORMES,BURHINIDAE,Burhinus,senegalensis,,Senegal Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,superciliaris,,Peruvian Thick-knee
CHARADRIIFORMES,BURHINIDAE,Burhinus,vermiculatus,,"Water Thick-knee, Water Dikkop"
CHARADRIIFORMES,BURHINIDAE,Esacus,magnirostris,Burhinus giganteus giganteus|Esacus giganteus|Esacus magnirostris magnirostris|Esacus neglectus neglectus,"Beach Thick-knee, Beach Stone-curlew"
CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,Burhinus recurvirostris recurvirostris,"Great Thick-knee, Great Stone-curlew"
CHARADRIIFORMES,CHARADRIIDAE,Anarhynchus,frontalis,,Wrybill
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alexandrinus,,"Kentish Plover, Snowy Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alticola,,Puna Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,aquilonius,,Northern Red-breasted Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,asiaticus,,Caspian Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bicinctus,,"Double-banded Plover, Banded Dotterel"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bifrontatus,,Madagascar Three-banded Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,collaris,,Collared Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dealbatus,,White-faced Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dubius,,Little Ringed Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,falklandicus,,Two-banded Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,forbesi,,Forbes's Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,hiaticula,,"Common Ringed Plover, Ringed Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,javanicus,,Javan Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,leschenaultii,,"Greater Sandplover, Large Sand Dotterel, Greater Sand-Plover"
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,marginatus,,White-fronted Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,melodus,,Piping Plover
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,modestus,,"Rufous-chested Plover, Rufous-chested Dotterel"
