fid,ord,fam,genus,species,subspecies,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,total_population,breeding_dist,nest_locations,hatchling_type,feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
38,PELECANIFORMES,ARDEIDAE,Ardea,insignis,,Ardea insignis,Ardeainsignis,Ardea imperialis imperialis,White-bellied Heron, Imperial Heron,,,,,CR,C2a(i),2013,decreasing,,,,,38,Ardeainsignis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
137,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,sanctaehelenae,,Charadrius sanctaehelenae,Charadriussanctaehelenae,,St Helena Plover, St. Helena Plover, Saint Helena Plover, Wirebird,,,CR,C2a(ii),2012,increasing,,,,,137,Charadriussanctaehelenae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
164,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,gregarius,,Vanellus gregarius,Vanellusgregarius,Chettusia gregaria gregaria|Chettusia gregaria gregaria,Sociable Lapwing, Sociable Plover,,,,,CR,A3bcd+4bcd,2013,decreasing,,,,,164,Vanellusgregarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
168,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,macropterus,,Vanellus macropterus,Vanellusmacropterus,,Javan Lapwing, Javanese Lapwing, Sunda Plover,,,,CR,D,2013,unknown,,,,,168,Vanellusmacropterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
183,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,amsterdamensis,,Diomedea amsterdamensis,Diomedeaamsterdamensis,,Amsterdam Albatross, Amsterdam Island Albatross,,,,,CR,B2ab(v); C2a(ii),2013,decreasing,,Tm,O,SP,183,Diomedeaamsterdamensis,,4.8,8,,,4.8,8,,,,,,,,1,,,,,79,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,40,,,ca,,94,95,,,,,grant,27/06/2016
185,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,dabbenena,,Diomedea dabbenena,Diomedeadabbenena,Diomedea chionoptera chionoptera,Tristan Albatross,,,,,,CR,A4ade,2013,decreasing,,Tm,O,SP,185,Diomedeadabbenena,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
191,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,irrorata,,Phoebastria irrorata,Phoebastriairrorata,Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata,Waved Albatross,,,,,,CR,B2ab(v),2014,decreasing,,Tr,"O, Sl",SP,191,Phoebastriairrorata,3.5,,,,3.5,,,,,,,,,,1,,,,,60,,,,167,,,,,,,,,,,,0,,,,,,,,,,,8.3,,,,,,,230,240,,40,,,ca,95,,,,,,,grant,27/06/2016
206,SULIFORMES,FREGATIDAE,Fregata,andrewsi,,Fregata andrewsi,Fregataandrewsi,,Christmas Frigatebird, Andrews' Frigatebird, Christmas Frigatebird,,,,CR,"B2ab(ii,iii,v)",2013,decreasing,,Tr,T,A,206,Fregataandrewsi,1.55,,,,1.4,,,,,,,,,,1,,,,,,46,54,,177,,,,,,,,,,,,,120,200,,,,,,,,,,,,,"NS,OS",,,205,230,,,,,,,,,,,,,grant,27/06/2016
223,CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,bitorquatus,,Rhinoptilus bitorquatus,Rhinoptilusbitorquatus,Cursorius bitorquatus bitorquatus,Jerdon's Courser,,,,,,CR,C2a(ii),2013,decreasing,,,,,223,Rhinoptilusbitorquatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
243,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,macrodactylus,,Hydrobates macrodactylus,Hydrobatesmacrodactylus,Oceanodroma macrodactyla,Guadalupe Storm-petrel,,,,,,CR,D,2012,unknown,,,,,243,Hydrobatesmacrodactylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
