,Order,Common Name,Common_Name_2,Common_Name_3,Scientific Name ,,Adult Mass (k):                                Mean:range                       or Mean:female(male)        Female(Male)    ,Culmen  mm,Tarsus mm,Tail mm       (inner or outer),Breeding Distribution,Nest Location,Clutch Size (range),Egg Mass (g) [volume],Egg Mass/Female Mass %,Hatchling Type,Incubation Period (d),Fledging Period (d),Reproductive Success %             (hatching success)[fledging success],Maximum Growth Rate (g/d),Feed/Day,Fledging Mass (or asymptote),Fl Mass/Ad Mass %,BMR kJ/d,RMR  kJ/d/kg  female (male),DEE kJ/d/kg  female (male),Post-Fledging Care (d),Age of First Breeding,Foraging  Distance               in Breeding Season,Migration Distance,Wing Length (mm)  F (M)         wrist to tip (lngst),Wing Span (cm),Wing loading N/m sqd.,Aspect ratio (span sqd./wg.area)            wing+c.body area,Maximum Age,1st Year survival,2nd Year survival,Survival to Breeding (%),Annual Adult Survival %,Mean Ad. Life Expectancy,IUCN Category (FWS category),Total Population (breeding pairs),Index to Literature Cited: from original book edition,Literature refs added after book published
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SPHENISCIFORMES,Gentoo Penguin,,,Pygoscelis papua,,5.15 (5.58),,,,"P,SP",O,2,133,,SA,35-36,74-100,,85,,5300,,,,,5-50,2,NS,,,,,,,27-59,,,75-85,,,,"43, 44, 129, 219","Croxall & Prince 1983,,Volkman & Trivelpiece 1980, Marchant & Higgins 1990, Croxall & Rothery 1995, Williams 1995"
2,SPHENISCIFORMES,Chinstrap Penguin,,,Pygoscelis antarctica,,"3.8,4.15",,,,"P,SP","O,SI",2,104,,SA,33-37,49-59,,86,,4025,,,,,none,3-5,NS+,,,,,,,,,,80-86,,,,"43, 129","Croxall & Prince 1983, Croxall & Gaston 1988, Marchant & Higgins 1990 - Reid 1968"
3,SPHENISCIFORMES,Adelie Penguin,,,Pygoscelis adeliae,,4.7 (5),,,,P,O,1.9(1-2),120,,SA,31-38,41-60,,116,,4200,,,,,none,3-6,NS+,,,,,,,51,,,80-89,,,,"129, 152, 174, 209, 232","Taylor 1962, Reid 1968, Croxall & Gaston 1988, Nettleship and Hunt 1988, Marchant & Higgins 1990,  Williams 1995"
4,SPHENISCIFORMES,King Penguin,,,Aptenodytes patagonicus,,14.3 (16),,,,P-Tm,None,1,302,,SA,52-54,313-350,,130,,12000,,,,,38,5 (4-6),OS,,,,,,,40-50,,,82-95,,,,"11, 42, 129, 130, 152, 204, 226","Stonehouse 1975, Croxall 1987, Barrat 1976, Nettleship & Hunt 1988, Marchant & Higgins 1990, Martinez 1992, Weimerskirch et al. 1992"
5,SPHENISCIFORMES,Emperor Penguin,,,Aptenodytes forsteri,,30 (38),,,,P,None,1,450,,SA,62-67,170(147-190),,113,,13000,,,,,,5 (3-9),OS,,,,,,,19,,,92-95,,,,"42, 114, 120, 129","Croxall & Gaston  , Isenmann 1971, Jouventin & Mougin 1981,Croxall 1987, Marchant & Higgins 1990"
6,SPHENISCIFORMES,Rockhopper Penguin,,,Eudyptes chrysocome,,2.3-2.7 (2.8-3.4),,,,"Tm,SP","O,Cr",1.5(1-2),111,,SA,33-39,60-70,,49,,2750,,,,,none,,OS,,,,,,,,,,,,,,"129, 204, 232","Stonehouse 1975, Croxall & Gaston 1988, Marchant & Higgins 1990, Williams 1995"
7,SPHENISCIFORMES,Macaroni Penguin,,,Eudyptes chrysolophus,,5 : 3-5(6: 3.25-5.5),,,,"P,SP","Sl,O",1.5(1-2),154,,SA,35-37,62,,69,,3200,,,264 (291),770 (741),,6(5-8),"NS+,OS",,,,,,,,,,77-86,,,,"43, 130, 232","Croxall & Prince 1983, Croxall & Gaston 1988, Martinez 1992, Williams 1995,  Green et al. 2009"
8,SPHENISCIFORMES,Royal Penguin,,,Eudyptes schlegeli,,5-6,,,,SP,"O,SI",2,,,SA,32-37,65,,,,,,,,,,5,OS,,,,,,,,,,86,,,,"129, 232","Marchant & Higgins 1990, Williams 1995"
9,SPHENISCIFORMES,Fiordland Penguin,,,Eudyptes pachyrhynchus,,3.4 (3.7); 4.88 ,,,,Tm,"O,Cr",1.5 (1-2),120,,SA,31-36,75,,52,,3000,,,,,none,3-4,NS+,,,,,,,,,,,,,,"129, 130, 232","Croxall & Gaston 1988, Marchant & Higgins 1990, Martinez 1992, Williams 1995"
