brid,species_id,breeding_distribution_id,breeding_distribution,cite_id,username,dt
1,Aethia cristatella,1,SP,citation311,grant,7/17/2016
2,Aethia cristatella,2,Tm,citation311,grant,7/17/2016
3,Aethia psittacula,1,Tm,citation311,grant,7/17/2016
4,Aethia pusilla,1,SP,citation311,grant,7/17/2016
5,Aethia pusilla,2,Tm,citation311,grant,7/17/2016
6,Aethia pygmaea,1,Tm,citation311,grant,7/17/2016
7,Alca torda,1,Tm,citation311,grant,7/17/2016
8,Alle alle,1,P,citation311,grant,7/17/2016
9,Brachyramphus brevirostris,1,Tm,citation311,grant,7/17/2016
10,Brachyramphus marmoratus,1,Tm,citation311,grant,7/17/2016
11,Brachyramphus perdix,1,unknown,citation311,grant,7/17/2016
12,Cepphus carbo,1,Tm,citation311,grant,7/17/2016
13,Cepphus columba,1,SP,citation311,grant,7/17/2016
14,Cepphus columba,2,Tm,citation311,grant,7/17/2016
15,Cepphus grylle,1,P-Tm,citation311,grant,7/17/2016
16,Cerorhinca monocerata,1,SP-STr,citation311,grant,7/17/2016
17,Fratercula arctica,1,Tm,citation311,grant,7/17/2016
18,Fratercula cirrhata,1,Tm,citation311,grant,7/17/2016
19,Fratercula corniculata,1,Tm,citation311,grant,7/17/2016
20,Pinguinus impennis,1,Tm,citation311,grant,7/17/2016
21,Ptychoramphus aleuticus,1,SP,citation311,grant,7/17/2016
22,Ptychoramphus aleuticus,2,Tm,citation311,grant,7/17/2016
23,Synthliboramphus antiquus,1,Tm,citation311,grant,7/17/2016
24,Synthliboramphus craveri,1,STr,citation311,grant,7/17/2016
25,Synthliboramphus hypoleucus,1,STr,citation311,grant,7/17/2016
26,Synthliboramphus scrippsi,1,unknown,citation311,grant,7/17/2016
27,Synthliboramphus wumizusume,1,Tm,citation311,grant,7/17/2016
28,Uria aalge,1,Tm,citation311,grant,7/17/2016
29,Uria lomvia,1,P-Tm,citation311,grant,7/17/2016
30,Anhinga anhinga,1,unknown,citation311,grant,7/17/2016
31,Anhinga melanogaster,1,unknown,citation311,grant,7/17/2016
32,Anhinga novaehollandiae,1,unknown,citation311,grant,7/17/2016
33,Anhinga rufa,1,unknown,citation311,grant,7/17/2016
34,Agamia agami,1,unknown,citation311,grant,7/17/2016
35,Ardea alba,1,unknown,citation311,grant,7/17/2016
36,Ardea brachyrhyncha,1,unknown,citation311,grant,7/17/2016
37,Ardea cinerea,1,unknown,citation311,grant,7/17/2016
38,Ardea cocoi,1,unknown,citation311,grant,7/17/2016
39,Ardea goliath,1,unknown,citation311,grant,7/17/2016
40,Ardea herodias,1,unknown,citation311,grant,7/17/2016
41,Ardea humbloti,1,unknown,citation311,grant,7/17/2016
42,Ardea insignis,1,unknown,citation311,grant,7/17/2016
43,Ardea intermedia,1,unknown,citation311,grant,7/17/2016
44,Ardea melanocephala,1,unknown,citation311,grant,7/17/2016
45,Ardea pacifica,1,unknown,citation311,grant,7/17/2016
46,Ardea plumifera,1,unknown,citation311,grant,7/17/2016
47,Ardea purpurea,1,unknown,citation311,grant,7/17/2016
48,Ardea sumatrana,1,unknown,citation311,grant,7/17/2016
49,Ardeola bacchus,1,unknown,citation311,grant,7/17/2016
50,Ardeola grayii,1,unknown,citation311,grant,7/17/2016
51,Ardeola idae,1,unknown,citation311,grant,7/17/2016
52,Ardeola ralloides,1,unknown,citation311,grant,7/17/2016
53,Ardeola rufiventris,1,unknown,citation311,grant,7/17/2016
54,Ardeola speciosa,1,unknown,citation311,grant,7/17/2016
55,Botaurus lentiginosus,1,unknown,citation311,grant,7/17/2016
56,Botaurus pinnatus,1,unknown,citation311,grant,7/17/2016
57,Botaurus poiciloptilus,1,unknown,citation311,grant,7/17/2016
58,Botaurus stellaris,1,unknown,citation311,grant,7/17/2016
59,Bubulcus ibis,1,unknown,citation311,grant,7/17/2016
60,Butorides striata,1,unknown,citation311,grant,7/17/2016
61,Calherodius leuconotus,1,unknown,citation311,grant,7/17/2016
62,Cochlearius cochlearius,1,unknown,citation311,grant,7/17/2016
63,Egretta ardesiaca,1,unknown,citation311,grant,7/17/2016
64,Egretta caerulea,1,unknown,citation311,grant,7/17/2016
65,Egretta eulophotes,1,unknown,citation311,grant,7/17/2016
66,Egretta garzetta,1,unknown,citation311,grant,7/17/2016
67,Egretta gularis,1,unknown,citation311,grant,7/17/2016
68,Egretta novaehollandiae,1,unknown,citation311,grant,7/17/2016
69,Egretta picata,1,unknown,citation311,grant,7/17/2016
70,Egretta rufescens,1,unknown,citation311,grant,7/17/2016
71,Egretta sacra,1,unknown,citation311,grant,7/17/2016
72,Egretta thula,1,unknown,citation311,grant,7/17/2016
73,Egretta tricolor,1,unknown,citation311,grant,7/17/2016
74,Egretta vinaceigula,1,unknown,citation311,grant,7/17/2016
75,Gorsachius goisagi,1,unknown,citation311,grant,7/17/2016
76,Gorsachius magnificus,1,unknown,citation311,grant,7/17/2016
77,Gorsachius melanolophus,1,unknown,citation311,grant,7/17/2016
78,Ixobrychus cinnamomeus,1,unknown,citation311,grant,7/17/2016
79,Ixobrychus dubius,1,unknown,citation311,grant,7/17/2016
80,Ixobrychus eurhythmus,1,unknown,citation311,grant,7/17/2016
81,Ixobrychus exilis,1,unknown,citation311,grant,7/17/2016
82,Ixobrychus flavicollis,1,unknown,citation311,grant,7/17/2016
83,Ixobrychus involucris,1,unknown,citation311,grant,7/17/2016
84,Ixobrychus minutus,1,unknown,citation311,grant,7/17/2016
85,Ixobrychus novaezelandiae,1,unknown,citation311,grant,7/17/2016
86,Ixobrychus sinensis,1,unknown,citation311,grant,7/17/2016
87,Ixobrychus sturmii,1,unknown,citation311,grant,7/17/2016
88,Nyctanassa carcinocatactes,1,unknown,citation311,grant,7/17/2016
89,Nyctanassa violacea,1,unknown,citation311,grant,7/17/2016
90,Nycticorax caledonicus,1,unknown,citation311,grant,7/17/2016
91,Nycticorax duboisi,1,unknown,citation311,grant,7/17/2016
92,Nycticorax mauritianus,1,unknown,citation311,grant,7/17/2016
93,Nycticorax megacephalus,1,unknown,citation311,grant,7/17/2016
94,Nycticorax nycticorax,1,unknown,citation311,grant,7/17/2016
95,Pilherodius pileatus,1,unknown,citation311,grant,7/17/2016
96,Syrigma sibilatrix,1,unknown,citation311,grant,7/17/2016
97,Tigriornis leucolopha,1,unknown,citation311,grant,7/17/2016
98,Tigrisoma fasciatum,1,unknown,citation311,grant,7/17/2016
99,Tigrisoma lineatum,1,unknown,citation311,grant,7/17/2016
100,Tigrisoma mexicanum,1,unknown,citation311,grant,7/17/2016
101,Zebrilus undulatus,1,unknown,citation311,grant,7/17/2016
102,Zonerodius heliosylus,1,unknown,citation311,grant,7/17/2016
