cite_id,citation_name,citation
citation1,Ainley 1995,"AINLEY, D. G. 1995. Ashy Storm-Petrel (Oceanodroma homochroa). No. 185 in The Birds of North America (A. Pool and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists’ Washington, D.C."
citation2,Ainley et al 1974,"AINLEY, D. G., S. H. MORRELL AND T. J. LEWIS. 1974. Patterns in the life histories of Storm-Petrels on the Farallon Islands. Living Bird 13:295-312."
citation3,Ainley et al 1990,"AINLEY, D. G., R. P. HENDERSON AND C. S. STRONG. 1990. Leach’s Storm-Petrel and Ashy Storm-Petrel. Pp. 128-162 in Seabirds of the Farallon Islands: ecology, dynamics, and structure of an upwelling-system community (D. G. Ainley and R. J. Boekelheide, eds.). Stanford Univ. Press, Stanford, CA."
citation4,Ainley et al 1997,"AINLEY, D. G., T. C. TELFER AND M. H. REYNOLDS. 1997. Newell’s and Townsend’s Shearwater (Puffinus auricularis). No. 297 in The Birds of North America (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation5,Altwegg et al 2007,"ALTWEGG, R., R. J. M. CRAWFORD, L. G. UNDERHILL, A. P. MARTIN AND P. A. WHITTINGTON. 2007. Geographic variation in reproduction and survival of kelp gulls Larus dominicanus vetula in sourthern Africa. Journal of Avian Biology 38: 580-586."
citation6,Amerson and Shelton 1976,"AMERSON, A. B., Jr. AND P. C. SHELTON. 1976. The natural history of Johnston Atoll, central Pacific Ocean. Atoll Research Bulletin. 192: 1-479."
citation7,Anderson 1993,"ANDERSON, D. J. 1993. Masked Booby (Sula dactylatra). No. 73 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation8,Ashcroft 1979,"ASHCROFT, R. E. 1979. Survival rates and breeding biology of Puffins on Skomer Island, Wales. Ornis Scandinavica 10: 100-110."
citation9,Austin and Austin 1956,"AUSTIN, O. L., AND AUSTIN, O. L., Jr. 1956. Some demographic aspects of the Cape Cod population of Common Terns (Sterna hirundo). Bird-Banding 27, 55-66."
citation10,Baird 1986,"BAIRD, P. H. 1986. Arctic and Aleutian Terns. Pp. 349-380 in The breeding biology and feeding ecology of marine birds in the Gulf of Alaska (P. H. Baird and P. J. Gould eds.). Environmental Assessment of the Alaska Continental Shelf, Final Report,  Vol. 45, Juneau, AK."
