"relation_id","feature_id","cite_id","species_id"
1,1,"citation308","Aethia cristatella"
2,2,"citation308","Aethia cristatella"
3,3,"citation308","Aethia cristatella"
4,4,"citation308","Aethia cristatella"
5,5,"citation308","Aethia cristatella"
6,6,"citation308","Aethia cristatella"
7,7,"citation308","Aethia cristatella"
8,8,"citation308","Aethia cristatella"
9,9,"citation308","Aethia cristatella"
10,10,"citation308","Aethia cristatella"
11,11,"citation308","Aethia cristatella"
12,12,"citation308","Aethia cristatella"
13,13,"citation308","Aethia cristatella"
14,14,"citation308","Aethia cristatella"
15,15,"citation308","Aethia cristatella"
16,16,"citation308","Aethia cristatella"
17,17,"citation308","Aethia cristatella"
18,18,"citation308","Aethia cristatella"
19,19,"citation308","Aethia cristatella"
20,20,"citation308","Aethia cristatella"
21,21,"citation308","Aethia cristatella"
22,22,"citation308","Aethia cristatella"
23,23,"citation308","Aethia cristatella"
24,24,"citation308","Aethia cristatella"
25,25,"citation308","Aethia cristatella"
26,26,"citation308","Aethia cristatella"
27,27,"citation308","Aethia cristatella"
28,28,"citation308","Aethia cristatella"
29,29,"citation308","Aethia cristatella"
30,30,"citation308","Aethia cristatella"
31,31,"citation308","Aethia cristatella"
32,1,"citation208","Aethia cristatella"
33,2,"citation208","Aethia cristatella"
34,3,"citation208","Aethia cristatella"
35,4,"citation208","Aethia cristatella"
36,5,"citation208","Aethia cristatella"
37,6,"citation208","Aethia cristatella"
38,7,"citation208","Aethia cristatella"
39,8,"citation208","Aethia cristatella"
40,9,"citation208","Aethia cristatella"
41,10,"citation208","Aethia cristatella"
42,11,"citation208","Aethia cristatella"
43,12,"citation208","Aethia cristatella"
44,13,"citation208","Aethia cristatella"
45,14,"citation208","Aethia cristatella"
46,15,"citation208","Aethia cristatella"
47,16,"citation208","Aethia cristatella"
48,17,"citation208","Aethia cristatella"
49,18,"citation208","Aethia cristatella"
50,19,"citation208","Aethia cristatella"
51,20,"citation208","Aethia cristatella"
52,21,"citation208","Aethia cristatella"
53,22,"citation208","Aethia cristatella"
54,23,"citation208","Aethia cristatella"
55,24,"citation208","Aethia cristatella"
56,25,"citation208","Aethia cristatella"
57,26,"citation208","Aethia cristatella"
58,27,"citation208","Aethia cristatella"
59,28,"citation208","Aethia cristatella"
60,29,"citation208","Aethia cristatella"
61,30,"citation208","Aethia cristatella"
62,31,"citation208","Aethia cristatella"
63,1,"citation146","Aethia cristatella"
64,2,"citation146","Aethia cristatella"
65,3,"citation146","Aethia cristatella"
66,4,"citation146","Aethia cristatella"
67,5,"citation146","Aethia cristatella"
68,6,"citation146","Aethia cristatella"
69,7,"citation146","Aethia cristatella"
70,8,"citation146","Aethia cristatella"
71,9,"citation146","Aethia cristatella"
72,10,"citation146","Aethia cristatella"
73,11,"citation146","Aethia cristatella"
74,12,"citation146","Aethia cristatella"
75,13,"citation146","Aethia cristatella"
76,14,"citation146","Aethia cristatella"
77,15,"citation146","Aethia cristatella"
78,16,"citation146","Aethia cristatella"
79,17,"citation146","Aethia cristatella"
80,18,"citation146","Aethia cristatella"
81,19,"citation146","Aethia cristatella"
82,20,"citation146","Aethia cristatella"
83,21,"citation146","Aethia cristatella"
84,22,"citation146","Aethia cristatella"
85,23,"citation146","Aethia cristatella"
86,24,"citation146","Aethia cristatella"
87,25,"citation146","Aethia cristatella"
88,26,"citation146","Aethia cristatella"
89,27,"citation146","Aethia cristatella"
90,28,"citation146","Aethia cristatella"
91,29,"citation146","Aethia cristatella"
92,30,"citation146","Aethia cristatella"
93,31,"citation146","Aethia cristatella"
94,1,"citation97","Aethia cristatella"
95,2,"citation97","Aethia cristatella"
96,3,"citation97","Aethia cristatella"
97,4,"citation97","Aethia cristatella"
98,5,"citation97","Aethia cristatella"
99,6,"citation97","Aethia cristatella"
100,7,"citation97","Aethia cristatella"
101,8,"citation97","Aethia cristatella"
102,9,"citation97","Aethia cristatella"
103,10,"citation97","Aethia cristatella"
104,11,"citation97","Aethia cristatella"
105,12,"citation97","Aethia cristatella"
106,13,"citation97","Aethia cristatella"
107,14,"citation97","Aethia cristatella"
108,15,"citation97","Aethia cristatella"
109,16,"citation97","Aethia cristatella"
110,17,"citation97","Aethia cristatella"
111,18,"citation97","Aethia cristatella"
112,19,"citation97","Aethia cristatella"
113,20,"citation97","Aethia cristatella"
114,21,"citation97","Aethia cristatella"
115,22,"citation97","Aethia cristatella"
116,23,"citation97","Aethia cristatella"
117,24,"citation97","Aethia cristatella"
118,25,"citation97","Aethia cristatella"
119,26,"citation97","Aethia cristatella"
120,27,"citation97","Aethia cristatella"
121,28,"citation97","Aethia cristatella"
122,29,"citation97","Aethia cristatella"
123,30,"citation97","Aethia cristatella"
124,31,"citation97","Aethia cristatella"
125,32,"citation60","Aethia psittacula"
126,33,"citation60","Aethia psittacula"
127,34,"citation60","Aethia psittacula"
128,35,"citation60","Aethia psittacula"
129,36,"citation60","Aethia psittacula"
130,37,"citation60","Aethia psittacula"
131,38,"citation60","Aethia psittacula"
