relation_id,feature_id,cite_id
1,1,citation308
2,2,citation308
3,3,citation308
4,4,citation308
5,5,citation308
6,6,citation308
7,7,citation308
8,8,citation308
9,9,citation308
10,10,citation308
11,11,citation308
12,12,citation308
13,13,citation308
14,14,citation308
15,15,citation308
16,16,citation308
17,17,citation308
18,18,citation308
19,19,citation308
20,20,citation308
21,21,citation308
22,22,citation308
23,23,citation308
24,24,citation308
25,25,citation308
26,26,citation308
27,27,citation308
28,28,citation308
29,29,citation308
30,30,citation308
31,1,citation208
32,2,citation208
33,3,citation208
34,4,citation208
35,5,citation208
36,6,citation208
37,7,citation208
38,8,citation208
39,9,citation208
40,10,citation208
41,11,citation208
42,12,citation208
43,13,citation208
44,14,citation208
45,15,citation208
46,16,citation208
47,17,citation208
48,18,citation208
49,19,citation208
50,20,citation208
51,21,citation208
52,22,citation208
53,23,citation208
54,24,citation208
55,25,citation208
56,26,citation208
57,27,citation208
58,28,citation208
59,29,citation208
60,30,citation208
61,1,citation146
62,2,citation146
63,3,citation146
64,4,citation146
65,5,citation146
66,6,citation146
67,7,citation146
68,8,citation146
69,9,citation146
70,10,citation146
71,11,citation146
72,12,citation146
73,13,citation146
74,14,citation146
75,15,citation146
76,16,citation146
77,17,citation146
78,18,citation146
79,19,citation146
80,20,citation146
81,21,citation146
82,22,citation146
83,23,citation146
84,24,citation146
85,25,citation146
86,26,citation146
87,27,citation146
88,28,citation146
89,29,citation146
90,30,citation146
91,1,citation97
92,2,citation97
93,3,citation97
94,4,citation97
95,5,citation97
96,6,citation97
97,7,citation97
98,8,citation97
99,9,citation97
100,10,citation97
101,11,citation97
102,12,citation97
103,13,citation97
104,14,citation97
105,15,citation97
106,16,citation97
107,17,citation97
108,18,citation97
109,19,citation97
110,20,citation97
111,21,citation97
112,22,citation97
113,23,citation97
114,24,citation97
115,25,citation97
116,26,citation97
117,27,citation97
118,28,citation97
119,29,citation97
120,30,citation97
121,31,citation60
122,32,citation60
123,33,citation60
124,34,citation60
125,35,citation60
126,36,citation60
127,37,citation60
128,38,citation60
129,39,citation60
130,40,citation60
131,41,citation60
132,42,citation60
133,43,citation60
134,44,citation60
135,45,citation60
136,46,citation60
137,47,citation60
138,48,citation60
139,49,citation60
140,50,citation60
141,51,citation60
142,52,citation60
143,53,citation60
144,54,citation60
145,55,citation60
146,56,citation60
147,57,citation60
148,58,citation60
149,59,citation60
150,60,citation60
151,31,citation308
152,32,citation308
153,33,citation308
154,34,citation308
155,35,citation308
156,36,citation308
157,37,citation308
158,38,citation308
159,39,citation308
160,40,citation308
161,41,citation308
162,42,citation308
163,43,citation308
164,44,citation308
165,45,citation308
166,46,citation308
167,47,citation308
168,48,citation308
169,49,citation308
170,50,citation308
171,51,citation308
172,52,citation308
173,53,citation308
174,54,citation308
175,55,citation308
176,56,citation308
177,57,citation308
178,58,citation308
179,59,citation308
180,60,citation308
181,31,citation186
182,32,citation186
183,33,citation186
184,34,citation186
185,35,citation186
186,36,citation186
187,37,citation186
188,38,citation186
189,39,citation186
190,40,citation186
191,41,citation186
192,42,citation186
193,43,citation186
194,44,citation186
195,45,citation186
196,46,citation186
197,47,citation186
198,48,citation186
199,49,citation186
200,50,citation186
201,51,citation186
202,52,citation186
203,53,citation186
204,54,citation186
205,55,citation186
206,56,citation186
207,57,citation186
208,58,citation186
209,59,citation186
210,60,citation186
211,61,citation238
212,62,citation238
213,63,citation238
214,64,citation238
215,65,citation238
216,66,citation238
217,67,citation238
218,68,citation238
219,69,citation238
220,70,citation238
221,71,citation238
222,72,citation238
223,73,citation238
224,74,citation238
225,75,citation238
226,76,citation238
227,77,citation238
228,78,citation238
229,79,citation238
230,80,citation238
231,81,citation238
232,82,citation238
233,83,citation238
234,84,citation238
235,85,citation238
236,86,citation238
237,87,citation238
238,88,citation238
239,89,citation238
240,90,citation238
241,61,citation60
242,62,citation60
243,63,citation60
244,64,citation60
245,65,citation60
246,66,citation60
247,67,citation60
248,68,citation60
249,69,citation60
250,70,citation60
251,71,citation60
252,72,citation60
253,73,citation60
254,74,citation60
255,75,citation60
256,76,citation60
257,77,citation60
258,78,citation60
259,79,citation60
260,80,citation60
261,81,citation60
262,82,citation60
263,83,citation60
264,84,citation60
265,85,citation60
266,86,citation60
267,87,citation60
268,88,citation60
269,89,citation60
270,90,citation60
271,61,citation308
272,62,citation308
273,63,citation308
274,64,citation308
275,65,citation308
276,66,citation308
277,67,citation308
278,68,citation308
279,69,citation308
280,70,citation308
281,71,citation308
282,72,citation308
283,73,citation308
284,74,citation308
285,75,citation308
286,76,citation308
287,77,citation308
288,78,citation308
289,79,citation308
290,80,citation308
291,81,citation308
292,82,citation308
293,83,citation308
294,84,citation308
295,85,citation308
296,86,citation308
297,87,citation308
298,88,citation308
299,89,citation308
300,90,citation308
301,61,citation147
302,62,citation147
303,63,citation147
304,64,citation147
305,65,citation147
306,66,citation147
307,67,citation147
308,68,citation147
309,69,citation147
310,70,citation147
311,71,citation147
312,72,citation147
313,73,citation147
314,74,citation147
315,75,citation147
316,76,citation147
317,77,citation147
318,78,citation147
319,79,citation147
320,80,citation147
321,81,citation147
322,82,citation147
323,83,citation147
324,84,citation147
325,85,citation147
326,86,citation147
327,87,citation147
328,88,citation147
329,89,citation147
330,90,citation147
331,61,citation145
332,62,citation145
333,63,citation145
334,64,citation145
335,65,citation145
336,66,citation145
337,67,citation145
338,68,citation145
339,69,citation145
340,70,citation145
341,71,citation145
342,72,citation145
343,73,citation145
344,74,citation145
345,75,citation145
346,76,citation145
347,77,citation145
348,78,citation145
349,79,citation145
350,80,citation145
351,81,citation145
352,82,citation145
353,83,citation145
354,84,citation145
355,85,citation145
356,86,citation145
357,87,citation145
358,88,citation145
359,89,citation145
360,90,citation145
361,91,citation45
362,92,citation45
363,93,citation45
364,94,citation45
365,95,citation45
366,96,citation45
367,97,citation45
368,98,citation45
369,99,citation45
370,100,citation45
371,101,citation45
372,102,citation45
373,103,citation45
374,104,citation45
375,105,citation45
376,106,citation45
377,107,citation45
378,108,citation45
379,109,citation45
380,110,citation45
381,111,citation45
382,112,citation45
383,113,citation45
384,114,citation45
385,115,citation45
386,116,citation45
387,117,citation45
388,118,citation45
389,119,citation45
390,120,citation45
391,91,citation186
392,92,citation186
393,93,citation186
394,94,citation186
395,95,citation186
396,96,citation186
397,97,citation186
398,98,citation186
399,99,citation186
400,100,citation186
401,101,citation186
402,102,citation186
403,103,citation186
404,104,citation186
405,105,citation186
406,106,citation186
407,107,citation186
408,108,citation186
409,109,citation186
410,110,citation186
411,111,citation186
412,112,citation186
413,113,citation186
414,114,citation186
415,115,citation186
416,116,citation186
417,117,citation186
418,118,citation186
419,119,citation186
420,120,citation186
421,91,citation137
422,92,citation137
423,93,citation137
424,94,citation137
425,95,citation137
426,96,citation137
427,97,citation137
428,98,citation137
429,99,citation137
430,100,citation137
431,101,citation137
432,102,citation137
433,103,citation137
434,104,citation137
435,105,citation137
436,106,citation137
437,107,citation137
438,108,citation137
439,109,citation137
440,110,citation137
441,111,citation137
442,112,citation137
443,113,citation137
444,114,citation137
445,115,citation137
446,116,citation137
447,117,citation137
448,118,citation137
449,119,citation137
450,120,citation137
451,121,citation60
452,122,citation60
453,123,citation60
454,124,citation60
455,125,citation60
456,126,citation60
457,127,citation60
458,128,citation60
459,129,citation60
460,130,citation60
461,131,citation60
462,132,citation60
463,133,citation60
464,134,citation60
465,135,citation60
466,136,citation60
467,137,citation60
468,138,citation60
469,139,citation60
470,140,citation60
471,141,citation60
472,142,citation60
473,143,citation60
474,144,citation60
475,145,citation60
476,146,citation60
477,147,citation60
478,148,citation60
479,149,citation60
480,150,citation60
481,121,citation120
482,122,citation120
483,123,citation120
484,124,citation120
485,125,citation120
486,126,citation120
487,127,citation120
488,128,citation120
489,129,citation120
490,130,citation120
491,131,citation120
492,132,citation120
493,133,citation120
494,134,citation120
495,135,citation120
496,136,citation120
497,137,citation120
498,138,citation120
499,139,citation120
500,140,citation120
501,141,citation120
502,142,citation120
503,143,citation120
504,144,citation120
505,145,citation120
506,146,citation120
507,147,citation120
508,148,citation120
509,149,citation120
510,150,citation120
511,121,citation308
512,122,citation308
513,123,citation308
514,124,citation308
515,125,citation308
516,126,citation308
517,127,citation308
518,128,citation308
519,129,citation308
520,130,citation308
521,131,citation308
522,132,citation308
523,133,citation308
524,134,citation308
525,135,citation308
526,136,citation308
527,137,citation308
528,138,citation308
529,139,citation308
530,140,citation308
531,141,citation308
532,142,citation308
533,143,citation308
534,144,citation308
535,145,citation308
536,146,citation308
537,147,citation308
538,148,citation308
539,149,citation308
540,150,citation308
541,121,citation97
542,122,citation97
543,123,citation97
544,124,citation97
545,125,citation97
546,126,citation97
547,127,citation97
548,128,citation97
549,129,citation97
550,130,citation97
551,131,citation97
552,132,citation97
553,133,citation97
554,134,citation97
555,135,citation97
556,136,citation97
557,137,citation97
558,138,citation97
559,139,citation97
560,140,citation97
561,141,citation97
562,142,citation97
563,143,citation97
564,144,citation97
565,145,citation97
566,146,citation97
567,147,citation97
568,148,citation97
569,149,citation97
570,150,citation97
571,121,citation156
572,122,citation156
573,123,citation156
574,124,citation156
575,125,citation156
576,126,citation156
577,127,citation156
578,128,citation156
579,129,citation156
580,130,citation156
581,131,citation156
582,132,citation156
583,133,citation156
584,134,citation156
585,135,citation156
586,136,citation156
587,137,citation156
588,138,citation156
589,139,citation156
590,140,citation156
591,141,citation156
592,142,citation156
593,143,citation156
594,144,citation156
595,145,citation156
596,146,citation156
597,147,citation156
598,148,citation156
599,149,citation156
600,150,citation156
601,121,citation33
602,122,citation33
603,123,citation33
604,124,citation33
605,125,citation33
606,126,citation33
607,127,citation33
608,128,citation33
609,129,citation33
610,130,citation33
611,131,citation33
612,132,citation33
613,133,citation33
614,134,citation33
615,135,citation33
616,136,citation33
617,137,citation33
618,138,citation33
619,139,citation33
620,140,citation33
621,141,citation33
622,142,citation33
623,143,citation33
624,144,citation33
625,145,citation33
626,146,citation33
627,147,citation33
628,148,citation33
629,149,citation33
630,150,citation33
631,151,citation60
632,152,citation60
633,153,citation60
634,154,citation60
635,155,citation60
636,156,citation60
637,157,citation60
638,158,citation60
639,159,citation60
640,160,citation60
641,161,citation60
642,162,citation60
643,163,citation60
644,164,citation60
645,165,citation60
646,166,citation60
647,167,citation60
648,168,citation60
649,169,citation60
650,170,citation60
651,171,citation60
652,172,citation60
653,173,citation60
654,174,citation60
655,175,citation60
656,176,citation60
657,177,citation60
658,178,citation60
659,179,citation60
660,180,citation60
661,151,citation97
662,152,citation97
663,153,citation97
664,154,citation97
665,155,citation97
666,156,citation97
667,157,citation97
668,158,citation97
669,159,citation97
670,160,citation97
671,161,citation97
672,162,citation97
673,163,citation97
674,164,citation97
675,165,citation97
676,166,citation97
677,167,citation97
678,168,citation97
679,169,citation97
680,170,citation97
681,171,citation97
682,172,citation97
683,173,citation97
684,174,citation97
685,175,citation97
686,176,citation97
687,177,citation97
688,178,citation97
689,179,citation97
690,180,citation97
691,151,citation308
692,152,citation308
693,153,citation308
694,154,citation308
695,155,citation308
696,156,citation308
697,157,citation308
698,158,citation308
699,159,citation308
700,160,citation308
701,161,citation308
702,162,citation308
703,163,citation308
704,164,citation308
705,165,citation308
706,166,citation308
707,167,citation308
708,168,citation308
709,169,citation308
710,170,citation308
711,171,citation308
712,172,citation308
713,173,citation308
714,174,citation308
715,175,citation308
716,176,citation308
717,177,citation308
718,178,citation308
719,179,citation308
720,180,citation308
721,181,citation308
722,182,citation308
723,183,citation308
724,184,citation308
725,185,citation308
726,186,citation308
727,187,citation308
728,188,citation308
729,189,citation308
730,190,citation308
731,191,citation308
732,192,citation308
733,193,citation308
734,194,citation308
735,195,citation308
736,196,citation308
737,197,citation308
738,198,citation308
739,199,citation308
740,200,citation308
741,201,citation308
742,202,citation308
743,203,citation308
744,204,citation308
745,205,citation308
746,206,citation308
747,207,citation308
748,208,citation308
749,209,citation308
750,210,citation308
751,181,citation186
752,182,citation186
753,183,citation186
754,184,citation186
755,185,citation186
756,186,citation186
757,187,citation186
758,188,citation186
759,189,citation186
760,190,citation186
761,191,citation186
762,192,citation186
763,193,citation186
764,194,citation186
765,195,citation186
766,196,citation186
767,197,citation186
768,198,citation186
769,199,citation186
770,200,citation186
771,201,citation186
772,202,citation186
773,203,citation186
774,204,citation186
775,205,citation186
776,206,citation186
777,207,citation186
778,208,citation186
779,209,citation186
780,210,citation186
781,181,citation66
782,182,citation66
783,183,citation66
784,184,citation66
785,185,citation66
786,186,citation66
787,187,citation66
788,188,citation66
789,189,citation66
790,190,citation66
791,191,citation66
792,192,citation66
793,193,citation66
794,194,citation66
795,195,citation66
796,196,citation66
797,197,citation66
798,198,citation66
799,199,citation66
800,200,citation66
801,201,citation66
802,202,citation66
803,203,citation66
804,204,citation66
805,205,citation66
806,206,citation66
807,207,citation66
808,208,citation66
809,209,citation66
810,210,citation66
811,211,citation60
812,212,citation60
813,213,citation60
814,214,citation60
815,215,citation60
816,216,citation60
817,217,citation60
818,218,citation60
819,219,citation60
820,220,citation60
821,221,citation60
822,222,citation60
823,223,citation60
824,224,citation60
825,225,citation60
826,226,citation60
827,227,citation60
828,228,citation60
829,229,citation60
830,230,citation60
831,231,citation60
832,232,citation60
833,233,citation60
834,234,citation60
835,235,citation60
836,236,citation60
837,237,citation60
838,238,citation60
839,239,citation60
840,240,citation60
841,211,citation308
842,212,citation308
843,213,citation308
844,214,citation308
845,215,citation308
846,216,citation308
847,217,citation308
848,218,citation308
849,219,citation308
850,220,citation308
851,221,citation308
852,222,citation308
853,223,citation308
854,224,citation308
855,225,citation308
856,226,citation308
857,227,citation308
858,228,citation308
859,229,citation308
860,230,citation308
861,231,citation308
862,232,citation308
863,233,citation308
864,234,citation308
865,235,citation308
866,236,citation308
867,237,citation308
868,238,citation308
869,239,citation308
870,240,citation308
871,211,citation185
872,212,citation185
873,213,citation185
874,214,citation185
875,215,citation185
876,216,citation185
877,217,citation185
878,218,citation185
879,219,citation185
880,220,citation185
881,221,citation185
882,222,citation185
883,223,citation185
884,224,citation185
885,225,citation185
886,226,citation185
887,227,citation185
888,228,citation185
889,229,citation185
890,230,citation185
891,231,citation185
892,232,citation185
893,233,citation185
