"relation_id","feature_id","cite_id","species_id"
1,1,"citation308","Aethia cristatella"
2,726,"citation308","Aethia cristatella"
3,1451,"citation308","Aethia cristatella"
4,2176,"citation308","Aethia cristatella"
5,1,"citation208","Aethia cristatella"
6,726,"citation208","Aethia cristatella"
7,1451,"citation208","Aethia cristatella"
8,2176,"citation208","Aethia cristatella"
9,1,"citation146","Aethia cristatella"
10,726,"citation146","Aethia cristatella"
11,1451,"citation146","Aethia cristatella"
12,2176,"citation146","Aethia cristatella"
13,1,"citation97","Aethia cristatella"
14,726,"citation97","Aethia cristatella"
15,1451,"citation97","Aethia cristatella"
16,2176,"citation97","Aethia cristatella"
17,2,"citation60","Aethia psittacula"
18,727,"citation60","Aethia psittacula"
19,1452,"citation60","Aethia psittacula"
20,2177,"citation60","Aethia psittacula"
21,2,"citation308","Aethia psittacula"
22,727,"citation308","Aethia psittacula"
23,1452,"citation308","Aethia psittacula"
24,2177,"citation308","Aethia psittacula"
25,2,"citation186","Aethia psittacula"
26,727,"citation186","Aethia psittacula"
27,1452,"citation186","Aethia psittacula"
28,2177,"citation186","Aethia psittacula"
29,3,"citation238","Aethia pusilla"
30,728,"citation238","Aethia pusilla"
31,1453,"citation238","Aethia pusilla"
32,2178,"citation238","Aethia pusilla"
33,3,"citation60","Aethia pusilla"
34,728,"citation60","Aethia pusilla"
35,1453,"citation60","Aethia pusilla"
36,2178,"citation60","Aethia pusilla"
37,3,"citation308","Aethia pusilla"
38,728,"citation308","Aethia pusilla"
39,1453,"citation308","Aethia pusilla"
40,2178,"citation308","Aethia pusilla"
41,3,"citation147","Aethia pusilla"
42,728,"citation147","Aethia pusilla"
43,1453,"citation147","Aethia pusilla"
44,2178,"citation147","Aethia pusilla"
45,3,"citation145","Aethia pusilla"
46,728,"citation145","Aethia pusilla"
47,1453,"citation145","Aethia pusilla"
48,2178,"citation145","Aethia pusilla"
49,4,"citation45","Aethia pygmaea"
50,729,"citation45","Aethia pygmaea"
51,1454,"citation45","Aethia pygmaea"
52,2179,"citation45","Aethia pygmaea"
53,4,"citation186","Aethia pygmaea"
54,729,"citation186","Aethia pygmaea"
55,1454,"citation186","Aethia pygmaea"
56,2179,"citation186","Aethia pygmaea"
57,4,"citation137","Aethia pygmaea"
58,729,"citation137","Aethia pygmaea"
59,1454,"citation137","Aethia pygmaea"
60,2179,"citation137","Aethia pygmaea"
61,5,"citation60","Alca torda"
62,730,"citation60","Alca torda"
63,1455,"citation60","Alca torda"
64,2180,"citation60","Alca torda"
65,5,"citation120","Alca torda"
66,730,"citation120","Alca torda"
67,1455,"citation120","Alca torda"
68,2180,"citation120","Alca torda"
69,5,"citation308","Alca torda"
70,730,"citation308","Alca torda"
71,1455,"citation308","Alca torda"
72,2180,"citation308","Alca torda"
73,5,"citation97","Alca torda"
74,730,"citation97","Alca torda"
75,1455,"citation97","Alca torda"
76,2180,"citation97","Alca torda"
77,5,"citation156","Alca torda"
78,730,"citation156","Alca torda"
79,1455,"citation156","Alca torda"
80,2180,"citation156","Alca torda"
81,5,"citation33","Alca torda"
82,730,"citation33","Alca torda"
83,1455,"citation33","Alca torda"
84,2180,"citation33","Alca torda"
85,6,"citation60","Alle alle"
86,731,"citation60","Alle alle"
87,1456,"citation60","Alle alle"
88,2181,"citation60","Alle alle"
89,6,"citation97","Alle alle"
90,731,"citation97","Alle alle"
91,1456,"citation97","Alle alle"
92,2181,"citation97","Alle alle"
93,6,"citation308","Alle alle"
94,731,"citation308","Alle alle"
95,1456,"citation308","Alle alle"
96,2181,"citation308","Alle alle"
97,7,"citation308","Brachyramphus brevirostris"
98,732,"citation308","Brachyramphus brevirostris"
99,1457,"citation308","Brachyramphus brevirostris"
100,2182,"citation308","Brachyramphus brevirostris"
101,7,"citation186","Brachyramphus brevirostris"
102,732,"citation186","Brachyramphus brevirostris"
103,1457,"citation186","Brachyramphus brevirostris"
104,2182,"citation186","Brachyramphus brevirostris"
105,7,"citation66","Brachyramphus brevirostris"
106,732,"citation66","Brachyramphus brevirostris"
107,1457,"citation66","Brachyramphus brevirostris"
108,2182,"citation66","Brachyramphus brevirostris"
109,8,"citation60","Brachyramphus marmoratus"
110,733,"citation60","Brachyramphus marmoratus"
111,1458,"citation60","Brachyramphus marmoratus"
112,2183,"citation60","Brachyramphus marmoratus"
113,8,"citation308","Brachyramphus marmoratus"
