"relation_id","feature_id","cite_id"
1,1,"citation308"
2,726,"citation308"
3,1451,"citation308"
4,2176,"citation308"
5,1,"citation208"
6,726,"citation208"
7,1451,"citation208"
8,2176,"citation208"
9,1,"citation146"
10,726,"citation146"
11,1451,"citation146"
12,2176,"citation146"
13,1,"citation97"
14,726,"citation97"
15,1451,"citation97"
16,2176,"citation97"
17,2,"citation60"
18,727,"citation60"
19,1452,"citation60"
20,2177,"citation60"
21,2,"citation308"
22,727,"citation308"
23,1452,"citation308"
24,2177,"citation308"
25,2,"citation186"
26,727,"citation186"
27,1452,"citation186"
28,2177,"citation186"
29,3,"citation238"
30,728,"citation238"
31,1453,"citation238"
32,2178,"citation238"
33,3,"citation60"
34,728,"citation60"
35,1453,"citation60"
36,2178,"citation60"
37,3,"citation308"
38,728,"citation308"
39,1453,"citation308"
40,2178,"citation308"
41,3,"citation147"
42,728,"citation147"
43,1453,"citation147"
44,2178,"citation147"
45,3,"citation145"
46,728,"citation145"
47,1453,"citation145"
48,2178,"citation145"
49,4,"citation45"
50,729,"citation45"
51,1454,"citation45"
52,2179,"citation45"
53,4,"citation186"
54,729,"citation186"
55,1454,"citation186"
56,2179,"citation186"
57,4,"citation137"
58,729,"citation137"
59,1454,"citation137"
60,2179,"citation137"
61,5,"citation60"
62,730,"citation60"
63,1455,"citation60"
64,2180,"citation60"
65,5,"citation120"
66,730,"citation120"
67,1455,"citation120"
68,2180,"citation120"
69,5,"citation308"
70,730,"citation308"
71,1455,"citation308"
72,2180,"citation308"
73,5,"citation97"
74,730,"citation97"
75,1455,"citation97"
76,2180,"citation97"
77,5,"citation156"
78,730,"citation156"
79,1455,"citation156"
80,2180,"citation156"
81,5,"citation33"
82,730,"citation33"
83,1455,"citation33"
84,2180,"citation33"
85,6,"citation60"
86,731,"citation60"
87,1456,"citation60"
88,2181,"citation60"
89,6,"citation97"
90,731,"citation97"
91,1456,"citation97"
92,2181,"citation97"
93,6,"citation308"
94,731,"citation308"
95,1456,"citation308"
96,2181,"citation308"
97,7,"citation308"
98,732,"citation308"
99,1457,"citation308"
100,2182,"citation308"
101,7,"citation186"
102,732,"citation186"
103,1457,"citation186"
104,2182,"citation186"
105,7,"citation66"
106,732,"citation66"
107,1457,"citation66"
108,2182,"citation66"
109,8,"citation60"
110,733,"citation60"
111,1458,"citation60"
112,2183,"citation60"
113,8,"citation308"
114,733,"citation308"
115,1458,"citation308"
116,2183,"citation308"
117,8,"citation185"
118,733,"citation185"
119,1458,"citation185"
120,2183,"citation185"
121,8,"citation184"
122,733,"citation184"
123,1458,"citation184"
124,2183,"citation184"
125,8,"citation200"
126,733,"citation200"
127,1458,"citation200"
128,2183,"citation200"
129,8,"citation19"
130,733,"citation19"
131,1458,"citation19"
132,2183,"citation19"
133,9,"citation186"
134,734,"citation186"
135,1459,"citation186"
136,2184,"citation186"
137,10,"citation123"
138,735,"citation123"
139,1460,"citation123"
140,2185,"citation123"
141,10,"citation186"
142,735,"citation186"
143,1460,"citation186"
144,2185,"citation186"
145,11,"citation60"
146,736,"citation60"
147,1461,"citation60"
148,2186,"citation60"
149,11,"citation308"
150,736,"citation308"
151,1461,"citation308"
152,2186,"citation308"
153,11,"citation86"
154,736,"citation86"
155,1461,"citation86"
156,2186,"citation86"
157,11,"citation286"
158,736,"citation286"
159,1461,"citation286"
160,2186,"citation286"
161,11,"citation16"
162,736,"citation16"
163,1461,"citation16"
164,2186,"citation16"
165,12,"citation204"
166,737,"citation204"
167,1462,"citation204"
168,2187,"citation204"
169,12,"citation60"
170,737,"citation60"
171,1462,"citation60"
172,2187,"citation60"
173,12,"citation308"
174,737,"citation308"
175,1462,"citation308"
176,2187,"citation308"
177,12,"citation16"
178,737,"citation16"
179,1462,"citation16"
180,2187,"citation16"
181,13,"citation294"
182,738,"citation294"
183,1463,"citation294"
184,2188,"citation294"
185,13,"citation308"
186,738,"citation308"
187,1463,"citation308"
188,2188,"citation308"
189,13,"citation97"
