cnid,species_id,common_name_id,common_name
1,Aethia cristatella,1,Crested Auklet
2,Aethia psittacula,1,Parakeet Auklet
3,Aethia pusilla,1,Least Auklet
4,Aethia pygmaea,1,Whiskered Auklet
5,Alca torda,1,Razorbill
6,Alle alle,1,Dovekie
7,Alle alle,2,Little Auk
8,Brachyramphus brevirostris,1,Kittlitz's Murrelet
9,Brachyramphus marmoratus,1,Marbled Murrelet
10,Brachyramphus perdix,1,Long-billed Murrelet
11,Cepphus carbo,1,Spectacled Guillemot
12,Cepphus columba,1,Pigeon Guillemot
13,Cepphus grylle,1,Black Guillemot
14,Cerorhinca monocerata,1,Rhinoceros Auklet
15,Fratercula arctica,1,Atlantic Puffin
16,Fratercula cirrhata,1,Tufted Puffin
17,Fratercula corniculata,1,Horned Puffin
18,Pinguinus impennis,1,Great Auk
19,Ptychoramphus aleuticus,1,Cassin's Auklet
20,Synthliboramphus antiquus,1,Ancient Murrelet
21,Synthliboramphus craveri,1,Craveri's Murrelet
22,Synthliboramphus hypoleucus,1,Guadalupe Murrelet
23,Synthliboramphus scrippsi,1,Scripps's Murrelet
24,Synthliboramphus wumizusume,1,Japanese Murrelet
25,Synthliboramphus wumizusume,2,Crested Murrelet
26,Uria aalge,1,Common Murre
27,Uria aalge,2,Guillemot
28,Uria lomvia,1,Thick-billed Murre
29,Uria lomvia,2,Brunnich's Guillemot
30,Anhinga anhinga,1,Anhinga
31,Anhinga melanogaster,1,Oriental Darter
32,Anhinga novaehollandiae,1,Australasian Darter
33,Anhinga rufa,1,African Darter
34,Anhinga rufa,2,Darter
35,Agamia agami,1,Agami Heron
36,Ardea alba,1,Great White Egret
37,Ardea alba,2,Great White Heron
38,Ardea brachyrhyncha,1,Yellow-billed Egret
39,Ardea cinerea,1,Grey Heron
40,Ardea cocoi,1,Cocoi Heron
41,Ardea goliath,1,Goliath Heron
42,Ardea herodias,1,Great Blue Heron
43,Ardea humbloti,1,Madagascar Heron
44,Ardea humbloti,2,Humblot's Heron
45,Ardea insignis,1,White-bellied Heron
46,Ardea insignis,2,Imperial Heron
47,Ardea intermedia,1,Intermediate Egret
48,Ardea melanocephala,1,Black-headed Heron
49,Ardea pacifica,1,White-necked Heron
50,Ardea pacifica,2,Pacific Heron
51,Ardea plumifera,1,Plumed Egret
52,Ardea purpurea,1,Purple Heron
53,Ardea sumatrana,1,Great-billed Heron
54,Ardeola bacchus,1,Chinese Pond-heron
55,Ardeola grayii,1,Indian Pond-heron
56,Ardeola idae,1,Madagascar Pond-heron
57,Ardeola idae,2,Madagascar Squacco Heron
58,Ardeola ralloides,1,Squacco Heron
59,Ardeola ralloides,2,Common Squacco Heron
60,Ardeola rufiventris,1,Rufous-bellied Heron
61,Ardeola speciosa,1,Javan Pond-heron
62,Botaurus lentiginosus,1,American Bittern
63,Botaurus pinnatus,1,Pinnated Bittern
64,Botaurus poiciloptilus,1,Australasian Bittern
65,Botaurus stellaris,1,Eurasian Bittern
66,Botaurus stellaris,2,Common Bittern
67,Botaurus stellaris,3,Bittern
68,Bubulcus ibis,1,Cattle Egret
69,Butorides striata,1,Green-backed Heron
70,Calherodius leuconotus,1,White-backed Night-heron
71,Cochlearius cochlearius,1,Boat-billed Heron
72,Egretta ardesiaca,1,Black Heron
73,Egretta ardesiaca,2,Black Egret
74,Egretta caerulea,1,Little Blue Heron
75,Egretta eulophotes,1,Chinese Egret
76,Egretta garzetta,1,Little Egret
77,Egretta gularis,1,Western Reef-egret
78,Egretta gularis,2,Reef Heron
79,Egretta novaehollandiae,1,White-faced Heron
80,Egretta picata,1,Pied Heron
81,Egretta rufescens,1,Reddish Egret
82,Egretta sacra,1,Pacific Reef-egret
83,Egretta sacra,2,Eastern Reef Egret
84,Egretta sacra,3,Pacific Reef Heron
85,Egretta sacra,4,Reef Heron
86,Egretta thula,1,Snowy Egret
87,Egretta tricolor,1,Tricolored Heron
88,Egretta vinaceigula,1,Slaty Egret
89,Gorsachius goisagi,1,Japanese Night-heron
90,Gorsachius magnificus,1,White-eared Night-heron
91,Gorsachius melanolophus,1,Malayan Night-heron
92,Ixobrychus cinnamomeus,1,Cinnamon Bittern
93,Ixobrychus dubius,1,Australian Little Bittern
94,Ixobrychus eurhythmus,1,Schrenck's Bittern
95,Ixobrychus eurhythmus,2,Schrenck's Little Bittern
96,Ixobrychus eurhythmus,3,Von Schrenck's Bittern
97,Ixobrychus exilis,1,Least Bittern
98,Ixobrychus flavicollis,1,Black Bittern
99,Ixobrychus involucris,1,Stripe-backed Bittern
100,Ixobrychus minutus,1,Common Little Bittern
101,Ixobrychus minutus,2,Little Bittern
102,Ixobrychus novaezelandiae,1,New Zealand Little Bittern
103,Ixobrychus novaezelandiae,2,New Zealand Bittern
104,Ixobrychus sinensis,1,Yellow Bittern
105,Ixobrychus sturmii,1,Dwarf Bittern
106,Nyctanassa carcinocatactes,1,Bermuda Night-heron
107,Nyctanassa violacea,1,Yellow-crowned Night-heron
108,Nycticorax caledonicus,1,Rufous Night-heron
109,Nycticorax caledonicus,2,Nankeen Night-heron
110,Nycticorax duboisi,1,Reunion Night-heron
111,Nycticorax mauritianus,1,Mauritius Night-heron
112,Nycticorax megacephalus,1,Rodrigues Night-heron
113,Nycticorax nycticorax,1,Black-crowned Night-heron
114,Nycticorax nycticorax,2,Night-heron
115,Pilherodius pileatus,1,Capped Heron
116,Syrigma sibilatrix,1,Whistling Heron
117,Tigriornis leucolopha,1,White-crested Tiger-heron
118,Tigriornis leucolopha,2,White-crested Bittern
119,Tigrisoma fasciatum,1,Fasciated Tiger-heron
120,Tigrisoma lineatum,1,Rufescent Tiger-heron
121,Tigrisoma mexicanum,1,Bare-throated Tiger-heron
122,Zebrilus undulatus,1,Zigzag Heron
123,Zonerodius heliosylus,1,Forest Bittern
124,Balaeniceps rex,1,Shoebill
125,Balaeniceps rex,2,Whale-headed Stork
126,Burhinus bistriatus,1,Double-striped Thick-knee
127,Burhinus capensis,1,Spotted Thick-knee
128,Burhinus capensis,2,Spotted Dikkop
129,Burhinus grallarius,1,Bush Thick-knee
130,Burhinus grallarius,2,Bush Stone-curlew
131,Burhinus indicus,1,Indian Thick-knee
132,Burhinus oedicnemus,1,Eurasian Thick-knee
133,Burhinus oedicnemus,2,Stone Curlew
134,Burhinus senegalensis,1,Senegal Thick-knee
135,Burhinus superciliaris,1,Peruvian Thick-knee
136,Burhinus vermiculatus,1,Water Thick-knee
137,Burhinus vermiculatus,2,Water Dikkop
138,Esacus magnirostris,1,Beach Thick-knee
139,Esacus magnirostris,2,Beach Stone-curlew
140,Esacus recurvirostris,1,Great Thick-knee
141,Esacus recurvirostris,2,Great Stone-curlew
142,Anarhynchus frontalis,1,Wrybill
143,Charadrius alexandrinus,1,Kentish Plover
144,Charadrius alexandrinus,2,Snowy Plover
145,Charadrius alticola,1,Puna Plover
146,Charadrius aquilonius,1,Northern Red-breasted Plover
147,Charadrius asiaticus,1,Caspian Plover
148,Charadrius bicinctus,1,Double-banded Plover
149,Charadrius bicinctus,2,Banded Dotterel
150,Charadrius bifrontatus,1,Madagascar Three-banded Plover
151,Charadrius collaris,1,Collared Plover
152,Charadrius dealbatus,1,White-faced Plover
153,Charadrius dubius,1,Little Ringed Plover
154,Charadrius falklandicus,1,Two-banded Plover
155,Charadrius forbesi,1,Forbes's Plover
156,Charadrius hiaticula,1,Common Ringed Plover
157,Charadrius hiaticula,2,Ringed Plover
158,Charadrius javanicus,1,Javan Plover
159,Charadrius leschenaultii,1,Greater Sandplover
160,Charadrius leschenaultii,2,Large Sand Dotterel
161,Charadrius marginatus,1,White-fronted Plover
162,Charadrius melodus,1,Piping Plover
163,Charadrius modestus,1,Rufous-chested Plover
164,Charadrius modestus,2,Rufous-chested Dotterel
165,Charadrius mongolus,1,Lesser Sandplover
166,Charadrius mongolus,2,Mongolian Dotterel
167,Charadrius mongolus,3,Mongolian Plover
168,Charadrius montanus,1,Mountain Plover
169,Charadrius nivosus,1,Snowy Plover
170,Charadrius obscurus,1,Southern Red-breasted Plover
171,Charadrius pallidus,1,Chestnut-banded Plover
172,Charadrius pecuarius,1,Kittlitz's Plover
173,Charadrius peronii,1,Malay Plover
174,Charadrius placidus,1,Long-billed Plover
175,Charadrius ruficapillus,1,Red-capped Plover
176,Charadrius ruficapillus,2,Red-capped Dotterel
177,Charadrius sanctaehelenae,1,St Helena Plover
178,Charadrius sanctaehelenae,2,Wirebird
179,Charadrius semipalmatus,1,Semipalmated Plover
180,Charadrius thoracicus,1,Black-banded Plover
181,Charadrius tricollaris,1,African Three-banded Plover
182,Charadrius tricollaris,2,Three-banded Plover
183,Charadrius veredus,1,Oriental Plover
184,Charadrius veredus,2,Oriental Dotterel
185,Charadrius vociferus,1,Killdeer
186,Charadrius wilsonia,1,Wilson's Plover
187,Elseyornis melanops,1,Black-fronted Dotterel
188,Erythrogonys cinctus,1,Red-kneed Dotterel
189,Eudromias morinellus,1,Eurasian Dotterel
190,Eudromias morinellus,2,Dotterel
191,Hoploxypterus cayanus,1,Pied Lapwing
192,Oreopholus ruficollis,1,Tawny-throated Dotterel
193,Peltohyas australis,1,Inland Dotterel
194,Peltohyas australis,2,Inland Plover
195,Phegornis mitchellii,1,Diademed Plover
196,Phegornis mitchellii,2,Diademed Sandpiper-Plover
197,Pluvialis apricaria,1,Eurasian Golden Plover
198,Pluvialis apricaria,2,European Golden Plover
199,Pluvialis apricaria,3,Golden Plover
200,Pluvialis dominica,1,American Golden Plover
201,Pluvialis dominica,2,Lesser Golden Plover
202,Pluvialis fulva,1,Pacific Golden Plover
203,Pluvialis squatarola,1,Grey Plover
204,Pluvialis squatarola,2,Black-bellied Plover
205,Thinornis cucullatus,1,Hooded Plover
206,Thinornis cucullatus,2,Hooded Dotterel
207,Thinornis novaeseelandiae,1,Shore Plover
208,Thinornis novaeseelandiae,2,Shore Dotterel
209,Vanellus albiceps,1,White-headed Lapwing
210,Vanellus albiceps,2,White-crowned Lapwing
211,Vanellus albiceps,3,White-crowned Plover
212,Vanellus armatus,1,Blacksmith Lapwing
213,Vanellus armatus,2,Blacksmith Plover
214,Vanellus chilensis,1,Southern Lapwing
215,Vanellus cinereus,1,Grey-headed Lapwing
216,Vanellus coronatus,1,Crowned Lapwing
217,Vanellus coronatus,2,Crowned Plover
218,Vanellus crassirostris,1,Long-toed Lapwing
219,Vanellus crassirostris,2,Long-toed Plover
220,Vanellus duvaucelii,1,River Lapwing
221,Vanellus gregarius,1,Sociable Lapwing
222,Vanellus gregarius,2,Sociable Plover
223,Vanellus indicus,1,Red-wattled Lapwing
224,Vanellus indicus,2,Red-wattled Plover
225,Vanellus leucurus,1,White-tailed Lapwing
226,Vanellus leucurus,2,White-tailed Plover
227,Vanellus lugubris,1,Senegal Lapwing
228,Vanellus lugubris,2,Lesser Black-winged Plover
229,Vanellus macropterus,1,Javan Lapwing
230,Vanellus macropterus,2,Javanese Lapwing
231,Vanellus macropterus,3,Sunda Plover
232,Vanellus malarbaricus,1,Yellow-wattled Lapwing
233,Vanellus melanocephalus,1,Spot-breasted Lapwing
234,Vanellus melanocephalus,2,Spot-breasted Plover
235,Vanellus melanopterus,1,Black-winged Lapwing
236,Vanellus melanopterus,2,Black-winged Plover
237,Vanellus miles,1,Masked Lapwing
238,Vanellus miles,2,Masked Plover
239,Vanellus novaehollandiae,1,Black-shouldered Lapwing
240,Vanellus resplendens,1,Andean Lapwing
241,Vanellus senegallus,1,Wattled Lapwing
242,Vanellus senegallus,2,African Wattled Lapwing
243,Vanellus senegallus,3,Senegal Wattled Plover
244,Vanellus spinosus,1,Spur-winged Lapwing
245,Vanellus spinosus,2,Spur-winged Plover
246,Vanellus superciliosus,1,Brown-chested Lapwing
247,Vanellus superciliosus,2,Brown-chested Wattled Plover
248,Vanellus tectus,1,Black-headed Lapwing
249,Vanellus tectus,2,Blackhead Plover
250,Vanellus tectus,3,Black-headed Plover
251,Vanellus tricolor,1,Banded Lapwing
252,Vanellus vanellus,1,Northern Lapwing
253,Vanellus vanellus,2,Lapwing
254,Chionis albus,1,Snowy Sheathbill
255,Chionis albus,2,American Sheathbill
256,Chionis minor,1,Black-faced Sheathbill
257,Diomedea amsterdamensis,1,Amsterdam Albatross
258,Diomedea amsterdamensis,2,Amsterdam Island Albatross
259,Diomedea antipodensis,1,Antipodean Albatross
260,Diomedea dabbenena,1,Tristan Albatross
261,Diomedea epomophora,1,Southern Royal Albatross
262,Diomedea epomophora,2,Royal Albatross
263,Diomedea exulans,1,Wandering Albatross
