forid,species_id,value,cite_id,username,dt
1,Aethia cristatella,NS,citation311,grant,07/17/2016
2,Aethia cristatella,OS,citation311,grant,07/17/2016
3,Aethia psittacula,OS,citation311,grant,07/17/2016
4,Aethia pusilla,NS,citation311,grant,07/17/2016
5,Aethia pusilla,OS,citation311,grant,07/17/2016
6,Aethia pygmaea,NS,citation311,grant,07/17/2016
7,Alca torda,NS,citation311,grant,07/17/2016
8,Alle alle,NS,citation311,grant,07/17/2016
9,Alle alle,OS,citation311,grant,07/17/2016
10,Anous minutus,NS+,citation311,grant,07/17/2016
11,Anous stolidus,NS+,citation311,grant,07/17/2016
12,Aphrodroma brevirostris,OS,citation311,grant,07/17/2016
13,Aptenodytes forsteri,OS,citation311,grant,07/17/2016
14,Aptenodytes patagonicus,OS,citation311,grant,07/17/2016
15,Ardenna bulleri,OS,citation311,grant,07/17/2016
16,Ardenna carneipes,NS,citation311,grant,07/17/2016
17,Ardenna carneipes,OS,citation311,grant,07/17/2016
18,Ardenna grisea,OS,citation311,grant,07/17/2016
19,Ardenna pacifica,OS,citation311,grant,07/17/2016
20,Ardenna tenuirostris,OS,citation311,grant,07/17/2016
21,Brachyramphus brevirostris,NS,citation311,grant,07/17/2016
22,Brachyramphus marmoratus,NS,citation311,grant,07/17/2016
23,Brachyramphus marmoratus,OS,citation311,grant,07/17/2016
24,Bulweria bulwerii,OS,citation311,grant,07/17/2016
25,Calonectris borealis,OS,citation311,grant,07/17/2016
26,Catharacta antarctica,NS,citation311,grant,07/17/2016
27,Catharacta chilensis,NS,citation311,grant,07/17/2016
28,Catharacta maccormicki,NS+,citation311,grant,07/17/2016
29,Catharacta skua,NS,citation311,grant,07/17/2016
30,Cepphus columba,NS,citation311,grant,07/17/2016
31,Cepphus grylle,NS,citation311,grant,07/17/2016
32,Cerorhinca monocerata,NS,citation311,grant,07/17/2016
33,Cerorhinca monocerata,OS,citation311,grant,07/17/2016
34,Chlidonias niger,NS,citation311,grant,07/17/2016
35,Creagrus furcatus,OS,citation311,grant,07/17/2016
36,Daption capense,OS,citation311,grant,07/17/2016
37,Diomedea epomophora,OS,citation311,grant,07/17/2016
38,Diomedea exulans,OS,citation311,grant,07/17/2016
39,Eudyptes chrysocome,OS,citation311,grant,07/17/2016
40,Eudyptes chrysolophus,NS+,citation311,grant,07/17/2016
41,Eudyptes chrysolophus,OS,citation311,grant,07/17/2016
42,Eudyptes pachyrhynchus,NS+,citation311,grant,07/17/2016
43,Eudyptes robustus,OS,citation311,grant,07/17/2016
44,Eudyptes schlegeli,OS,citation311,grant,07/17/2016
45,Eudyptes sclateri,OS,citation311,grant,07/17/2016
46,Eudyptula minor,NS,citation311,grant,07/17/2016
47,Fratercula arctica,NS,citation311,grant,07/17/2016
48,Fratercula arctica,OS,citation311,grant,07/17/2016
