iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
1,Aethia cristatella,LC,,2012,decreasing,,,,
2,Aethia psittacula,LC,,2012,decreasing,,,,
3,Aethia pusilla,LC,,2012,decreasing,,,,
4,Aethia pygmaea,LC,,2012,decreasing,,,,
5,Alca torda,LC,,2012,increasing,,,,
6,Alle alle,LC,,2012,decreasing,,,,
7,Brachyramphus brevirostris,NT,,2014,decreasing,,,,
8,Brachyramphus marmoratus,EN,A2bc+3bc+4bc,2012,decreasing,,,,
9,Brachyramphus perdix,NT,,2012,decreasing,,,,
10,Cepphus carbo,LC,,2012,decreasing,,,,
11,Cepphus columba,LC,,2012,stable,,,,
12,Cepphus grylle,LC,,2012,increasing,,,,
13,Cerorhinca monocerata,LC,,2012,decreasing,,,,
14,Fratercula arctica,LC,,2012,decreasing,,,,
15,Fratercula cirrhata,LC,,2012,decreasing,,,,
16,Fratercula corniculata,LC,,2012,decreasing,,,,
17,Pinguinus impennis,EX,,2012,extinct,,,,
18,Ptychoramphus aleuticus,LC,,2012,decreasing,,,,
19,Synthliboramphus antiquus,LC,,2012,decreasing,,,,
20,Synthliboramphus craveri,VU,"B2ab(iii,v);C2a(ii)",2012,decreasing,,,,
21,Synthliboramphus hypoleucus,EN,"B2ab(iv,v)",2014,decreasing,,,,
22,Synthliboramphus scrippsi,VU,"B2ab(iv,v)",2014,decreasing,,,,
23,Synthliboramphus wumizusume,VU,A2cde+3cde+4cde;C2a(ii),2012,decreasing,,,,
24,Uria aalge,LC,,2012,increasing,,,,
25,Uria lomvia,LC,,2012,increasing,,,,
26,Anhinga anhinga,LC,,2012,decreasing,,,,
27,Anhinga melanogaster,NT,,2012,decreasing,,,,
28,Anhinga novaehollandiae,LC,,2012,stable,,,,
29,Anhinga rufa,LC,,2012,decreasing,,,,
30,Agamia agami,VU,A3c,2012,unknown,,,,
31,Ardea alba,LC,,2012,unknown,,,,
32,Ardea brachyrhyncha,LC,,2014,decreasing,,,,
33,Ardea cinerea,LC,,2012,unknown,,,,
