feature_id,species_id,traits,mean,range,uncertainty,units,comments,study_year,study_location,citeid,username,dt
1,Aethia cristatella,female mass,,"[0.26,0.29]",,Kg,,,,citation311,grant,7/15/2016
2,Aethia cristatella,male mass,,"[0.26,0.29]",,Kg,,,,citation311,grant,7/15/2016
3,Aethia cristatella,culmen,,,,mm,,,,citation311,grant,7/15/2016
4,Aethia cristatella,tarsus,,,,mm,,,,citation311,grant,7/15/2016
5,Aethia cristatella,tail,,,,mm,,,,citation311,grant,7/15/2016
6,Aethia cristatella,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
7,Aethia cristatella,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
8,Aethia cristatella,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
9,Aethia cristatella,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
10,Aethia cristatella,egg mass,40,,,g,,,,citation311,grant,7/15/2016
11,Aethia cristatella,incubation period,33.8,"[29,40]",,d,,,,citation311,grant,7/15/2016
12,Aethia cristatella,fledging period,33.2,"[27,36]",,d,,,,citation311,grant,7/15/2016
13,Aethia cristatella,reproductive success,,,,%,,,,citation311,grant,7/15/2016
14,Aethia cristatella,hatching success,,,,%,,,,citation311,grant,7/15/2016
15,Aethia cristatella,fledging success,,,,%,,,,citation311,grant,7/15/2016
16,Aethia cristatella,max growth,,"[11,13]",,g/d,,,,citation311,grant,7/15/2016
17,Aethia cristatella,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
18,Aethia cristatella,post fledge care,0,,,d,,,,citation311,grant,7/15/2016
19,Aethia cristatella,fledgling mass,228,,,g,,,,citation311,grant,7/15/2016
20,Aethia cristatella,ratio fledgling to adult,80,,,%,,,,citation311,grant,7/15/2016
21,Aethia cristatella,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
22,Aethia cristatella,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
23,Aethia cristatella,first year survival,,,,%,,,,citation311,grant,7/15/2016
24,Aethia cristatella,second year survival,,,,%,,,,citation311,grant,7/15/2016
25,Aethia cristatella,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
26,Aethia cristatella,age first breed,3,,ca,yrs,,,,citation311,grant,7/15/2016
27,Aethia cristatella,migration distance,,,,km,,,,citation311,grant,7/15/2016
28,Aethia cristatella,wingspan,48,,,cm,,,,citation311,grant,7/15/2016
29,Aethia cristatella,max age,,,,yrs,,,,citation311,grant,7/15/2016
30,Aethia cristatella,annual survival,89,,,%,,,,citation311,grant,7/15/2016
31,Aethia cristatella,foraging distance,,,,km,,,,citation311,grant,7/15/2016
32,Aethia psittacula,female mass,0.26,"[0.26,0.28]",,Kg,,,,citation311,grant,7/15/2016
33,Aethia psittacula,male mass,,"[0.26,0.28]",,Kg,,,,citation311,grant,7/15/2016
34,Aethia psittacula,culmen,,,,mm,,,,citation311,grant,7/15/2016
35,Aethia psittacula,tarsus,,,,mm,,,,citation311,grant,7/15/2016
36,Aethia psittacula,tail,,,,mm,,,,citation311,grant,7/15/2016
37,Aethia psittacula,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
38,Aethia psittacula,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
39,Aethia psittacula,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
40,Aethia psittacula,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
41,Aethia psittacula,egg mass,37,,,g,,,,citation311,grant,7/15/2016
42,Aethia psittacula,incubation period,35,,,d,,,,citation311,grant,7/15/2016
43,Aethia psittacula,fledging period,35,,,d,,,,citation311,grant,7/15/2016
44,Aethia psittacula,reproductive success,,,,%,,,,citation311,grant,7/15/2016
45,Aethia psittacula,hatching success,,,,%,,,,citation311,grant,7/15/2016
46,Aethia psittacula,fledging success,,,,%,,,,citation311,grant,7/15/2016
47,Aethia psittacula,max growth,10.6,,,g/d,,,,citation311,grant,7/15/2016
48,Aethia psittacula,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
49,Aethia psittacula,post fledge care,0,,,d,,,,citation311,grant,7/15/2016
50,Aethia psittacula,fledgling mass,216,,,g,,,,citation311,grant,7/15/2016
51,Aethia psittacula,ratio fledgling to adult,79,,,%,,,,citation311,grant,7/15/2016
52,Aethia psittacula,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
53,Aethia psittacula,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
54,Aethia psittacula,first year survival,,,,%,,,,citation311,grant,7/15/2016
55,Aethia psittacula,second year survival,,,,%,,,,citation311,grant,7/15/2016
56,Aethia psittacula,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
57,Aethia psittacula,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
58,Aethia psittacula,migration distance,,,,km,,,,citation311,grant,7/15/2016
59,Aethia psittacula,wingspan,50,,,cm,,,,citation311,grant,7/15/2016
60,Aethia psittacula,max age,,,,yrs,,,,citation311,grant,7/15/2016
61,Aethia psittacula,annual survival,,,,%,,,,citation311,grant,7/15/2016
62,Aethia psittacula,foraging distance,,,,km,,,,citation311,grant,7/15/2016
63,Aethia pusilla,female mass,0.08,"[0.084,0.092]",,Kg,,,,citation311,grant,7/15/2016
64,Aethia pusilla,male mass,,"[0.084,0.092]",,Kg,,,,citation311,grant,7/15/2016
65,Aethia pusilla,culmen,,,,mm,,,,citation311,grant,7/15/2016
66,Aethia pusilla,tarsus,,,,mm,,,,citation311,grant,7/15/2016
67,Aethia pusilla,tail,,,,mm,,,,citation311,grant,7/15/2016
68,Aethia pusilla,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
69,Aethia pusilla,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
70,Aethia pusilla,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
71,Aethia pusilla,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
72,Aethia pusilla,egg mass,17,,,g,,,,citation311,grant,7/15/2016
73,Aethia pusilla,incubation period,30.1,"[25,39]",,d,,,,citation311,grant,7/15/2016
74,Aethia pusilla,fledging period,28.6,,,d,,,,citation311,grant,7/15/2016
75,Aethia pusilla,reproductive success,,,,%,,,,citation311,grant,7/15/2016
76,Aethia pusilla,hatching success,,,,%,,,,citation311,grant,7/15/2016
77,Aethia pusilla,fledging success,,,,%,,,,citation311,grant,7/15/2016
78,Aethia pusilla,max growth,,"[5.3,6]",,g/d,,,,citation311,grant,7/15/2016
79,Aethia pusilla,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
80,Aethia pusilla,post fledge care,0,,,d,,,,citation311,grant,7/15/2016
81,Aethia pusilla,fledgling mass,81,,,g,,,,citation311,grant,7/15/2016
82,Aethia pusilla,ratio fledgling to adult,95,,,%,,,,citation311,grant,7/15/2016
83,Aethia pusilla,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
84,Aethia pusilla,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
85,Aethia pusilla,first year survival,,,,%,,,,citation311,grant,7/15/2016
86,Aethia pusilla,second year survival,,,,%,,,,citation311,grant,7/15/2016
87,Aethia pusilla,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
88,Aethia pusilla,age first breed,3,,,yrs,,,,citation311,grant,7/15/2016
89,Aethia pusilla,migration distance,,,,km,,,,citation311,grant,7/15/2016
90,Aethia pusilla,wingspan,33,,,cm,,,,citation311,grant,7/15/2016
91,Aethia pusilla,max age,,,,yrs,,,,citation311,grant,7/15/2016
92,Aethia pusilla,annual survival,80.8,,,%,,,,citation311,grant,7/15/2016
93,Aethia pusilla,foraging distance,,,,km,,,,citation311,grant,7/15/2016
94,Aethia pygmaea,female mass,0.12,,,Kg,,,,citation311,grant,7/15/2016
95,Aethia pygmaea,male mass,0.12,,,Kg,,,,citation311,grant,7/15/2016
96,Aethia pygmaea,culmen,,,,mm,,,,citation311,grant,7/15/2016
97,Aethia pygmaea,tarsus,,,,mm,,,,citation311,grant,7/15/2016
98,Aethia pygmaea,tail,,,,mm,,,,citation311,grant,7/15/2016
99,Aethia pygmaea,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
100,Aethia pygmaea,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
101,Aethia pygmaea,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
102,Aethia pygmaea,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
103,Aethia pygmaea,egg mass,44,,,g,,,,citation311,grant,7/15/2016
104,Aethia pygmaea,incubation period,35.5,,,d,,,,citation311,grant,7/15/2016
105,Aethia pygmaea,fledging period,40.5,"[39,42]",,d,,,,citation311,grant,7/15/2016
106,Aethia pygmaea,reproductive success,65,,,%,,,,citation311,grant,7/15/2016
107,Aethia pygmaea,hatching success,84,,,%,,,,citation311,grant,7/15/2016
108,Aethia pygmaea,fledging success,73,,,%,,,,citation311,grant,7/15/2016
109,Aethia pygmaea,max growth,,,,g/d,,,,citation311,grant,7/15/2016
110,Aethia pygmaea,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
111,Aethia pygmaea,post fledge care,,,,d,,,,citation311,grant,7/15/2016
112,Aethia pygmaea,fledgling mass,100,,,g,,,,citation311,grant,7/15/2016
113,Aethia pygmaea,ratio fledgling to adult,90.5,,,%,,,,citation311,grant,7/15/2016
114,Aethia pygmaea,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
115,Aethia pygmaea,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
116,Aethia pygmaea,first year survival,,,,%,,,,citation311,grant,7/15/2016
117,Aethia pygmaea,second year survival,,,,%,,,,citation311,grant,7/15/2016
118,Aethia pygmaea,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
119,Aethia pygmaea,age first breed,3,,ca,yrs,,,,citation311,grant,7/15/2016
120,Aethia pygmaea,migration distance,,,,km,,,,citation311,grant,7/15/2016
121,Aethia pygmaea,wingspan,,,,cm,,,,citation311,grant,7/15/2016
