relation_id,feature_id,cite_id,species_id
1,1,citation308,Aethia cristatella
2,2,citation308,Aethia cristatella
3,3,citation308,Aethia cristatella
4,4,citation308,Aethia cristatella
5,5,citation308,Aethia cristatella
6,6,citation308,Aethia cristatella
7,7,citation308,Aethia cristatella
8,8,citation308,Aethia cristatella
9,9,citation308,Aethia cristatella
10,10,citation308,Aethia cristatella
11,11,citation308,Aethia cristatella
12,12,citation308,Aethia cristatella
13,13,citation308,Aethia cristatella
14,14,citation308,Aethia cristatella
15,15,citation308,Aethia cristatella
16,16,citation308,Aethia cristatella
17,17,citation308,Aethia cristatella
18,18,citation308,Aethia cristatella
19,19,citation308,Aethia cristatella
20,20,citation308,Aethia cristatella
21,21,citation308,Aethia cristatella
22,22,citation308,Aethia cristatella
23,23,citation308,Aethia cristatella
24,24,citation308,Aethia cristatella
25,25,citation308,Aethia cristatella
26,26,citation308,Aethia cristatella
27,27,citation308,Aethia cristatella
28,28,citation308,Aethia cristatella
29,29,citation308,Aethia cristatella
30,30,citation308,Aethia cristatella
31,1,citation208,Aethia cristatella
32,2,citation208,Aethia cristatella
33,3,citation208,Aethia cristatella
34,4,citation208,Aethia cristatella
35,5,citation208,Aethia cristatella
36,6,citation208,Aethia cristatella
37,7,citation208,Aethia cristatella
38,8,citation208,Aethia cristatella
39,9,citation208,Aethia cristatella
40,10,citation208,Aethia cristatella
41,11,citation208,Aethia cristatella
42,12,citation208,Aethia cristatella
43,13,citation208,Aethia cristatella
44,14,citation208,Aethia cristatella
45,15,citation208,Aethia cristatella
46,16,citation208,Aethia cristatella
47,17,citation208,Aethia cristatella
48,18,citation208,Aethia cristatella
49,19,citation208,Aethia cristatella
50,20,citation208,Aethia cristatella
51,21,citation208,Aethia cristatella
52,22,citation208,Aethia cristatella
53,23,citation208,Aethia cristatella
54,24,citation208,Aethia cristatella
55,25,citation208,Aethia cristatella
56,26,citation208,Aethia cristatella
57,27,citation208,Aethia cristatella
58,28,citation208,Aethia cristatella
59,29,citation208,Aethia cristatella
60,30,citation208,Aethia cristatella
61,1,citation146,Aethia cristatella
62,2,citation146,Aethia cristatella
63,3,citation146,Aethia cristatella
64,4,citation146,Aethia cristatella
65,5,citation146,Aethia cristatella
66,6,citation146,Aethia cristatella
67,7,citation146,Aethia cristatella
68,8,citation146,Aethia cristatella
69,9,citation146,Aethia cristatella
70,10,citation146,Aethia cristatella
71,11,citation146,Aethia cristatella
72,12,citation146,Aethia cristatella
73,13,citation146,Aethia cristatella
74,14,citation146,Aethia cristatella
75,15,citation146,Aethia cristatella
76,16,citation146,Aethia cristatella
77,17,citation146,Aethia cristatella
78,18,citation146,Aethia cristatella
79,19,citation146,Aethia cristatella
80,20,citation146,Aethia cristatella
81,21,citation146,Aethia cristatella
82,22,citation146,Aethia cristatella
83,23,citation146,Aethia cristatella
84,24,citation146,Aethia cristatella
85,25,citation146,Aethia cristatella
86,26,citation146,Aethia cristatella
87,27,citation146,Aethia cristatella
88,28,citation146,Aethia cristatella
89,29,citation146,Aethia cristatella
90,30,citation146,Aethia cristatella
91,1,citation97,Aethia cristatella
92,2,citation97,Aethia cristatella
93,3,citation97,Aethia cristatella
94,4,citation97,Aethia cristatella
95,5,citation97,Aethia cristatella
96,6,citation97,Aethia cristatella
97,7,citation97,Aethia cristatella
98,8,citation97,Aethia cristatella
99,9,citation97,Aethia cristatella
100,10,citation97,Aethia cristatella
101,11,citation97,Aethia cristatella
102,12,citation97,Aethia cristatella
103,13,citation97,Aethia cristatella
104,14,citation97,Aethia cristatella
105,15,citation97,Aethia cristatella
106,16,citation97,Aethia cristatella
107,17,citation97,Aethia cristatella
108,18,citation97,Aethia cristatella
109,19,citation97,Aethia cristatella
110,20,citation97,Aethia cristatella
111,21,citation97,Aethia cristatella
112,22,citation97,Aethia cristatella
113,23,citation97,Aethia cristatella
114,24,citation97,Aethia cristatella
115,25,citation97,Aethia cristatella
116,26,citation97,Aethia cristatella
117,27,citation97,Aethia cristatella
118,28,citation97,Aethia cristatella
119,29,citation97,Aethia cristatella
120,30,citation97,Aethia cristatella
121,31,citation60,Aethia psittacula
122,32,citation60,Aethia psittacula
123,33,citation60,Aethia psittacula
124,34,citation60,Aethia psittacula
125,35,citation60,Aethia psittacula
126,36,citation60,Aethia psittacula
127,37,citation60,Aethia psittacula
128,38,citation60,Aethia psittacula
129,39,citation60,Aethia psittacula
130,40,citation60,Aethia psittacula
131,41,citation60,Aethia psittacula
132,42,citation60,Aethia psittacula
133,43,citation60,Aethia psittacula
134,44,citation60,Aethia psittacula
135,45,citation60,Aethia psittacula
136,46,citation60,Aethia psittacula
137,47,citation60,Aethia psittacula
138,48,citation60,Aethia psittacula
139,49,citation60,Aethia psittacula
140,50,citation60,Aethia psittacula
141,51,citation60,Aethia psittacula
142,52,citation60,Aethia psittacula
143,53,citation60,Aethia psittacula
144,54,citation60,Aethia psittacula
145,55,citation60,Aethia psittacula
146,56,citation60,Aethia psittacula
147,57,citation60,Aethia psittacula
