trtid,species_id,variable,value,comments,cite_id,username,dt
1,Aethia cristatella,hatchling type,SP,,citation311,grant,17/07/2016
2,Aethia psittacula,hatchling type,SP,,citation311,grant,17/07/2016
3,Aethia pusilla,hatchling type,SP,,citation311,grant,17/07/2016
4,Aethia pygmaea,hatchling type,SP,,citation311,grant,17/07/2016
5,Alca torda,hatchling type,SP,,citation311,grant,17/07/2016
6,Alle alle,hatchling type,SP,,citation311,grant,17/07/2016
7,Brachyramphus brevirostris,hatchling type,SP,,citation311,grant,17/07/2016
8,Brachyramphus marmoratus,hatchling type,SP,,citation311,grant,17/07/2016
9,Brachyramphus perdix,hatchling type,SP,,citation311,grant,17/07/2016
10,Cepphus carbo,hatchling type,SP,,citation311,grant,17/07/2016
11,Cepphus columba,hatchling type,SP,,citation311,grant,17/07/2016
12,Cepphus grylle,hatchling type,SP,,citation311,grant,17/07/2016
13,Cerorhinca monocerata,hatchling type,SP,,citation311,grant,17/07/2016
14,Fratercula arctica,hatchling type,SP,,citation311,grant,17/07/2016
15,Fratercula cirrhata,hatchling type,SP,,citation311,grant,17/07/2016
16,Fratercula corniculata,hatchling type,SP,,citation311,grant,17/07/2016
17,Pinguinus impennis,hatchling type,SP,,citation311,grant,17/07/2016
18,Ptychoramphus aleuticus,hatchling type,SP,,citation311,grant,17/07/2016
19,Synthliboramphus antiquus,hatchling type,P,,citation311,grant,17/07/2016
20,Synthliboramphus craveri,hatchling type,P,,citation311,grant,17/07/2016
21,Synthliboramphus hypoleucus,hatchling type,P,,citation311,grant,17/07/2016
22,Synthliboramphus scrippsi,hatchling type,,,citation311,grant,17/07/2016
23,Synthliboramphus wumizusume,hatchling type,P,,citation311,grant,17/07/2016
24,Uria aalge,hatchling type,SP,,citation311,grant,17/07/2016
25,Uria lomvia,hatchling type,SP,,citation311,grant,17/07/2016
26,Anhinga anhinga,hatchling type,,,citation311,grant,17/07/2016
27,Anhinga melanogaster,hatchling type,,,citation311,grant,17/07/2016
28,Anhinga novaehollandiae,hatchling type,,,citation311,grant,17/07/2016
29,Anhinga rufa,hatchling type,,,citation311,grant,17/07/2016
30,Agamia agami,hatchling type,,,citation311,grant,17/07/2016
31,Ardea alba,hatchling type,,,citation311,grant,17/07/2016
32,Ardea brachyrhyncha,hatchling type,,,citation311,grant,17/07/2016
33,Ardea cinerea,hatchling type,,,citation311,grant,17/07/2016
34,Ardea cocoi,hatchling type,,,citation311,grant,17/07/2016
35,Ardea goliath,hatchling type,,,citation311,grant,17/07/2016
36,Ardea herodias,hatchling type,,,citation311,grant,17/07/2016
37,Ardea humbloti,hatchling type,,,citation311,grant,17/07/2016
38,Ardea insignis,hatchling type,,,citation311,grant,17/07/2016
39,Ardea intermedia,hatchling type,,,citation311,grant,17/07/2016
40,Ardea melanocephala,hatchling type,,,citation311,grant,17/07/2016
41,Ardea pacifica,hatchling type,,,citation311,grant,17/07/2016
42,Ardea plumifera,hatchling type,,,citation311,grant,17/07/2016
43,Ardea purpurea,hatchling type,,,citation311,grant,17/07/2016
44,Ardea sumatrana,hatchling type,,,citation311,grant,17/07/2016
45,Ardeola bacchus,hatchling type,,,citation311,grant,17/07/2016
46,Ardeola grayii,hatchling type,,,citation311,grant,17/07/2016
47,Ardeola idae,hatchling type,,,citation311,grant,17/07/2016
48,Ardeola ralloides,hatchling type,,,citation311,grant,17/07/2016
49,Ardeola rufiventris,hatchling type,,,citation311,grant,17/07/2016
50,Ardeola speciosa,hatchling type,,,citation311,grant,17/07/2016
51,Botaurus lentiginosus,hatchling type,,,citation311,grant,17/07/2016
52,Botaurus pinnatus,hatchling type,,,citation311,grant,17/07/2016
53,Botaurus poiciloptilus,hatchling type,,,citation311,grant,17/07/2016
54,Botaurus stellaris,hatchling type,,,citation311,grant,17/07/2016
55,Bubulcus ibis,hatchling type,,,citation311,grant,17/07/2016
56,Butorides striata,hatchling type,,,citation311,grant,17/07/2016
57,Calherodius leuconotus,hatchling type,,,citation311,grant,17/07/2016
58,Cochlearius cochlearius,hatchling type,,,citation311,grant,17/07/2016
59,Egretta ardesiaca,hatchling type,,,citation311,grant,17/07/2016
60,Egretta caerulea,hatchling type,,,citation311,grant,17/07/2016
61,Egretta eulophotes,hatchling type,,,citation311,grant,17/07/2016
62,Egretta garzetta,hatchling type,,,citation311,grant,17/07/2016
63,Egretta gularis,hatchling type,,,citation311,grant,17/07/2016
64,Egretta novaehollandiae,hatchling type,,,citation311,grant,17/07/2016
65,Egretta picata,hatchling type,,,citation311,grant,17/07/2016
66,Egretta rufescens,hatchling type,,,citation311,grant,17/07/2016
67,Egretta sacra,hatchling type,,,citation311,grant,17/07/2016
68,Egretta thula,hatchling type,,,citation311,grant,17/07/2016
69,Egretta tricolor,hatchling type,,,citation311,grant,17/07/2016
70,Egretta vinaceigula,hatchling type,,,citation311,grant,17/07/2016
71,Gorsachius goisagi,hatchling type,,,citation311,grant,17/07/2016
72,Gorsachius magnificus,hatchling type,,,citation311,grant,17/07/2016
73,Gorsachius melanolophus,hatchling type,,,citation311,grant,17/07/2016
74,Ixobrychus cinnamomeus,hatchling type,,,citation311,grant,17/07/2016
75,Ixobrychus dubius,hatchling type,,,citation311,grant,17/07/2016
76,Ixobrychus eurhythmus,hatchling type,,,citation311,grant,17/07/2016
77,Ixobrychus exilis,hatchling type,,,citation311,grant,17/07/2016
78,Ixobrychus flavicollis,hatchling type,,,citation311,grant,17/07/2016
79,Ixobrychus involucris,hatchling type,,,citation311,grant,17/07/2016
80,Ixobrychus minutus,hatchling type,,,citation311,grant,17/07/2016
81,Ixobrychus novaezelandiae,hatchling type,,,citation311,grant,17/07/2016
82,Ixobrychus sinensis,hatchling type,,,citation311,grant,17/07/2016
83,Ixobrychus sturmii,hatchling type,,,citation311,grant,17/07/2016
84,Nyctanassa carcinocatactes,hatchling type,,,citation311,grant,17/07/2016
85,Nyctanassa violacea,hatchling type,,,citation311,grant,17/07/2016
86,Nycticorax caledonicus,hatchling type,,,citation311,grant,17/07/2016
87,Nycticorax duboisi,hatchling type,,,citation311,grant,17/07/2016
88,Nycticorax mauritianus,hatchling type,,,citation311,grant,17/07/2016
89,Nycticorax megacephalus,hatchling type,,,citation311,grant,17/07/2016
90,Nycticorax nycticorax,hatchling type,,,citation311,grant,17/07/2016
91,Pilherodius pileatus,hatchling type,,,citation311,grant,17/07/2016
92,Syrigma sibilatrix,hatchling type,,,citation311,grant,17/07/2016
93,Tigriornis leucolopha,hatchling type,,,citation311,grant,17/07/2016
94,Tigrisoma fasciatum,hatchling type,,,citation311,grant,17/07/2016
95,Tigrisoma lineatum,hatchling type,,,citation311,grant,17/07/2016
96,Tigrisoma mexicanum,hatchling type,,,citation311,grant,17/07/2016
97,Zebrilus undulatus,hatchling type,,,citation311,grant,17/07/2016
98,Zonerodius heliosylus,hatchling type,,,citation311,grant,17/07/2016
99,Balaeniceps rex,hatchling type,,,citation311,grant,17/07/2016
100,Burhinus bistriatus,hatchling type,,,citation311,grant,17/07/2016
101,Burhinus capensis,hatchling type,,,citation311,grant,17/07/2016
102,Burhinus grallarius,hatchling type,,,citation311,grant,17/07/2016
103,Burhinus indicus,hatchling type,,,citation311,grant,17/07/2016
104,Burhinus oedicnemus,hatchling type,,,citation311,grant,17/07/2016
105,Burhinus senegalensis,hatchling type,,,citation311,grant,17/07/2016
106,Burhinus superciliaris,hatchling type,,,citation311,grant,17/07/2016
107,Burhinus vermiculatus,hatchling type,,,citation311,grant,17/07/2016
108,Esacus magnirostris,hatchling type,,,citation311,grant,17/07/2016
109,Esacus recurvirostris,hatchling type,,,citation311,grant,17/07/2016
110,Anarhynchus frontalis,hatchling type,,,citation311,grant,17/07/2016
111,Charadrius alexandrinus,hatchling type,,,citation311,grant,17/07/2016
112,Charadrius alticola,hatchling type,,,citation311,grant,17/07/2016
113,Charadrius aquilonius,hatchling type,,,citation311,grant,17/07/2016
114,Charadrius asiaticus,hatchling type,,,citation311,grant,17/07/2016
115,Charadrius bicinctus,hatchling type,,,citation311,grant,17/07/2016
116,Charadrius bifrontatus,hatchling type,,,citation311,grant,17/07/2016
117,Charadrius collaris,hatchling type,,,citation311,grant,17/07/2016
118,Charadrius dealbatus,hatchling type,,,citation311,grant,17/07/2016
