ord,fam,genus,species,subspecies,species_id,species_id_html,synonyms
CHARADRIIFORMES,ALCIDAE,Aethia,cristatella,,Aethia cristatella,Aethiacristatella,
CHARADRIIFORMES,ALCIDAE,Aethia,psittacula,,Aethia psittacula,Aethiapsittacula,Cyclorrhynchus psittacula psittacula
CHARADRIIFORMES,ALCIDAE,Aethia,pusilla,,Aethia pusilla,Aethiapusilla,
CHARADRIIFORMES,ALCIDAE,Aethia,pygmaea,,Aethia pygmaea,Aethiapygmaea,
CHARADRIIFORMES,ALCIDAE,Alca,torda,,Alca torda,Alcatorda,
CHARADRIIFORMES,ALCIDAE,Alle,alle,,Alle alle,Allealle,
CHARADRIIFORMES,ALCIDAE,Brachyramphus,brevirostris,,Brachyramphus brevirostris,Brachyramphusbrevirostris,
CHARADRIIFORMES,ALCIDAE,Brachyramphus,marmoratus,,Brachyramphus marmoratus,Brachyramphusmarmoratus,
CHARADRIIFORMES,ALCIDAE,Brachyramphus,perdix,,Brachyramphus perdix,Brachyramphusperdix,
CHARADRIIFORMES,ALCIDAE,Cepphus,carbo,,Cepphus carbo,Cepphuscarbo,
CHARADRIIFORMES,ALCIDAE,Cepphus,columba,,Cepphus columba,Cepphuscolumba,
CHARADRIIFORMES,ALCIDAE,Cepphus,grylle,,Cepphus grylle,Cepphusgrylle,
CHARADRIIFORMES,ALCIDAE,Cerorhinca,monocerata,,Cerorhinca monocerata,Cerorhincamonocerata,
CHARADRIIFORMES,ALCIDAE,Fratercula,arctica,,Fratercula arctica,Fraterculaarctica,
CHARADRIIFORMES,ALCIDAE,Fratercula,cirrhata,,Fratercula cirrhata,Fraterculacirrhata,Lunda cirrhata 
CHARADRIIFORMES,ALCIDAE,Fratercula,corniculata,,Fratercula corniculata,Fraterculacorniculata,
CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,,Pinguinus impennis,Pinguinusimpennis,
CHARADRIIFORMES,ALCIDAE,Ptychoramphus,aleuticus,,Ptychoramphus aleuticus,Ptychoramphusaleuticus,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,antiquus,,Synthliboramphus antiquus,Synthliboramphusantiquus,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,craveri,,Synthliboramphus craveri,Synthliboramphuscraveri,Brachyramphus craveri craveri
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,hypoleucus,,Synthliboramphus hypoleucus,Synthliboramphushypoleucus,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,scrippsi,,Synthliboramphus scrippsi,Synthliboramphusscrippsi,
CHARADRIIFORMES,ALCIDAE,Synthliboramphus,wumizusume,,Synthliboramphus wumizusume,Synthliboramphuswumizusume,
CHARADRIIFORMES,ALCIDAE,Uria,aalge,,Uria aalge,Uriaaalge,
CHARADRIIFORMES,ALCIDAE,Uria,lomvia,,Uria lomvia,Urialomvia,
SULIFORMES,ANHINGIDAE,Anhinga,anhinga,,Anhinga anhinga,Anhingaanhinga,
SULIFORMES,ANHINGIDAE,Anhinga,melanogaster,,Anhinga melanogaster,Anhingamelanogaster,
SULIFORMES,ANHINGIDAE,Anhinga,novaehollandiae,,Anhinga novaehollandiae,Anhinganovaehollandiae,
SULIFORMES,ANHINGIDAE,Anhinga,rufa,,Anhinga rufa,Anhingarufa,
PELECANIFORMES,ARDEIDAE,Agamia,agami,,Agamia agami,Agamiaagami,
PELECANIFORMES,ARDEIDAE,Ardea,alba,,Ardea alba,Ardeaalba,Casmerodius albus|Egretta alba
PELECANIFORMES,ARDEIDAE,Ardea,brachyrhyncha,,Ardea brachyrhyncha,Ardeabrachyrhyncha,
PELECANIFORMES,ARDEIDAE,Ardea,cinerea,,Ardea cinerea,Ardeacinerea,
PELECANIFORMES,ARDEIDAE,Ardea,cocoi,,Ardea cocoi,Ardeacocoi,
PELECANIFORMES,ARDEIDAE,Ardea,goliath,,Ardea goliath,Ardeagoliath,
PELECANIFORMES,ARDEIDAE,Ardea,herodias,,Ardea herodias,Ardeaherodias,
PELECANIFORMES,ARDEIDAE,Ardea,humbloti,,Ardea humbloti,Ardeahumbloti,
PELECANIFORMES,ARDEIDAE,Ardea,insignis,,Ardea insignis,Ardeainsignis,Ardea imperialis imperialis
PELECANIFORMES,ARDEIDAE,Ardea,intermedia,,Ardea intermedia,Ardeaintermedia,
PELECANIFORMES,ARDEIDAE,Ardea,melanocephala,,Ardea melanocephala,Ardeamelanocephala,
PELECANIFORMES,ARDEIDAE,Ardea,pacifica,,Ardea pacifica,Ardeapacifica,
PELECANIFORMES,ARDEIDAE,Ardea,plumifera,,Ardea plumifera,Ardeaplumifera,
PELECANIFORMES,ARDEIDAE,Ardea,purpurea,,Ardea purpurea,Ardeapurpurea,
PELECANIFORMES,ARDEIDAE,Ardea,sumatrana,,Ardea sumatrana,Ardeasumatrana,
PELECANIFORMES,ARDEIDAE,Ardeola,bacchus,,Ardeola bacchus,Ardeolabacchus,
PELECANIFORMES,ARDEIDAE,Ardeola,grayii,,Ardeola grayii,Ardeolagrayii,
PELECANIFORMES,ARDEIDAE,Ardeola,idae,,Ardeola idae,Ardeolaidae,
PELECANIFORMES,ARDEIDAE,Ardeola,ralloides,,Ardeola ralloides,Ardeolaralloides,
PELECANIFORMES,ARDEIDAE,Ardeola,rufiventris,,Ardeola rufiventris,Ardeolarufiventris,
PELECANIFORMES,ARDEIDAE,Ardeola,speciosa,,Ardeola speciosa,Ardeolaspeciosa,
PELECANIFORMES,ARDEIDAE,Botaurus,lentiginosus,,Botaurus lentiginosus,Botauruslentiginosus,
PELECANIFORMES,ARDEIDAE,Botaurus,pinnatus,,Botaurus pinnatus,Botauruspinnatus,
PELECANIFORMES,ARDEIDAE,Botaurus,poiciloptilus,,Botaurus poiciloptilus,Botauruspoiciloptilus,
PELECANIFORMES,ARDEIDAE,Botaurus,stellaris,,Botaurus stellaris,Botaurusstellaris,
