relation_id,species_id,cite_id
1,Aethia cristatella,citation308
2,Aethia cristatella,citation208
3,Aethia cristatella,citation146
4,Aethia cristatella,citation97
5,Aethia psittacula,citation60
6,Aethia psittacula,citation308
7,Aethia psittacula,citation186
8,Aethia pusilla,citation238
9,Aethia pusilla,citation60
10,Aethia pusilla,citation308
11,Aethia pusilla,citation147
12,Aethia pusilla,citation145
13,Aethia pygmaea,citation45
14,Aethia pygmaea,citation186
15,Aethia pygmaea,citation137
16,Alca torda,citation60
17,Alca torda,citation120
18,Alca torda,citation308
19,Alca torda,citation97
20,Alca torda,citation156
21,Alca torda,citation33
22,Alle alle,citation60
23,Alle alle,citation97
24,Alle alle,citation308
25,Brachyramphus brevirostris,citation308
26,Brachyramphus brevirostris,citation186
27,Brachyramphus brevirostris,citation66
28,Brachyramphus marmoratus,citation60
29,Brachyramphus marmoratus,citation308
30,Brachyramphus marmoratus,citation185
31,Brachyramphus marmoratus,citation184
32,Brachyramphus marmoratus,citation200
33,Brachyramphus marmoratus,citation19
34,Brachyramphus perdix,citation186
35,Cepphus carbo,citation123
36,Cepphus carbo,citation186
37,Cepphus columba,citation60
38,Cepphus columba,citation308
39,Cepphus columba,citation86
40,Cepphus columba,citation286
41,Cepphus columba,citation16
42,Cepphus grylle,citation204
43,Cepphus grylle,citation60
44,Cepphus grylle,citation308
45,Cepphus grylle,citation16
46,Cerorhinca monocerata,citation294
47,Cerorhinca monocerata,citation308
48,Cerorhinca monocerata,citation97
49,Cerorhinca monocerata,citation95
50,Cerorhinca monocerata,citation16
51,Fratercula arctica,citation8
52,Fratercula arctica,citation60
53,Fratercula arctica,citation308
54,Fratercula arctica,citation33
55,Fratercula arctica,citation16
56,Fratercula arctica,citation28
57,Fratercula cirrhata,citation123
58,Fratercula cirrhata,citation60
59,Fratercula cirrhata,citation308
60,Fratercula cirrhata,citation186
61,Fratercula corniculata,citation60
62,Fratercula corniculata,citation308
63,Fratercula corniculata,citation186
64,Pinguinus impennis,citation169
65,Ptychoramphus aleuticus,citation60
66,Ptychoramphus aleuticus,citation308
67,Ptychoramphus aleuticus,citation161
68,Ptychoramphus aleuticus,citation160
69,Ptychoramphus aleuticus,citation273
70,Ptychoramphus aleuticus,citation217
71,Ptychoramphus aleuticus,citation16
72,Synthliboramphus antiquus,citation100
73,Synthliboramphus antiquus,citation308
74,Synthliboramphus antiquus,citation94
75,Synthliboramphus craveri,citation60
76,Synthliboramphus craveri,citation308
