species_id,cite_id,citation_name
Aethiacristatella,,Ydenberg 1989
Aethiacristatella,,Piatt et al 1990
Aethiacristatella,,Jones 1993b
Aethiacristatella,,Gaston and Jones 1998
Aethiapsittacula,,Croxall and Gaston 1988
Aethiapsittacula,,Ydenberg 1989
Aethiapsittacula,,Nettleship 1996
Aethiapusilla,,Roby and Brink 1986
Aethiapusilla,,Croxall and Gaston 1988
Aethiapusilla,,Ydenberg 1989
Aethiapusilla,,Jones and Montgomerie 1991
Aethiapusilla,,Jones 1993a
Aethiapygmaea,,Byrd and Williams 1993b
Aethiapygmaea,,Nettleship 1996
Aethiapygmaea,,Hunter et al 2002
Alcatorda,,Croxall and Gaston 1988
Alcatorda,,Harris and Wanless 1989
Alcatorda,,Ydenberg 1989
Alcatorda,,Gaston and Jones 1998
Alcatorda,,Lavers et al 2008
Alcatorda,,Bryant and Furness 1995
Allealle,,Croxall and Gaston 1988
Allealle,,Gaston and Jones 1998
Allealle,,Ydenberg 1989
Brachyramphusbrevirostris,,Ydenberg 1989
Brachyramphusbrevirostris,,Nettleship 1996
Brachyramphusbrevirostris,,Day et al 1999
Brachyramphusmarmoratus,,Croxall and Gaston 1988
Brachyramphusmarmoratus,,Ydenberg 1989
Brachyramphusmarmoratus,,Nelson and Hamer 1995
Brachyramphusmarmoratus,,Nelson 1997
Brachyramphusmarmoratus,,Parker et al 2004
Brachyramphusmarmoratus,,Beissinger 1995
Brachyramphusperdix,,Nettleship 1996
Cepphuscarbo,,Harrison 1983
Cepphuscarbo,,Nettleship 1996
Cepphuscolumba,,Croxall and Gaston 1988
Cepphuscolumba,,Ydenberg 1989
Cepphuscolumba,,Ewins 1993
Cepphuscolumba,,Vermeer et al 1993
Cepphuscolumba,,BBL
Cepphusgrylle,,Petersen 1981
Cepphusgrylle,,Croxall and Gaston 1988
Cepphusgrylle,,Ydenberg 1989
Cepphusgrylle,,BBL
Cerorhincamonocerata,,Watanuki 1987
Cerorhincamonocerata,,Ydenberg 1989
Cerorhincamonocerata,,Gaston and Jones 1998
Cerorhincamonocerata,,Gaston and Dechesne 1996
Cerorhincamonocerata,,BBL
Fraterculaarctica,,Ashcroft 1979
Fraterculaarctica,,Croxall and Gaston 1988
Fraterculaarctica,,Ydenberg 1989
Fraterculaarctica,,Bryant and Furness 1995
Fraterculaarctica,,BBL
Fraterculaarctica,,Breton and Diamond 2014
Fraterculacirrhata,,Harrison 1983
Fraterculacirrhata,,Croxall and Gaston 1988
Fraterculacirrhata,,Ydenberg 1989
Fraterculacirrhata,,Nettleship 1996
Fraterculacorniculata,,Croxall and Gaston 1988
Fraterculacorniculata,,Ydenberg 1989
Fraterculacorniculata,,Nettleship 1996
Pinguinusimpennis,,Montevecchi and Kirk 1996
Ptychoramphusaleuticus,,Croxall and Gaston 1988
Ptychoramphusaleuticus,,Ydenberg 1989
Ptychoramphusaleuticus,,Manuwal and Thoresen 1993
Ptychoramphusaleuticus,,Manuwal 1974
Ptychoramphusaleuticus,,Sydeman et al 1996
Ptychoramphusaleuticus,,PSG Bull 29:2 2002
Ptychoramphusaleuticus,,BBL
Synthliboramphusantiquus,,Gaston et al 1988
Synthliboramphusantiquus,,Ydenberg 1989
Synthliboramphusantiquus,,Gaston 1994
Synthliboramphuscraveri,,Croxall and Gaston 1988
Synthliboramphuscraveri,,Ydenberg 1989
Synthliboramphuscraveri,,DeWeese and Anderson 1976
Synthliboramphuscraveri,,Nettleship 1996
Synthliboramphushypoleucus,,Harrison 1983
Synthliboramphushypoleucus,,Ydenberg 1989
Synthliboramphushypoleucus,,Drost and Lewis 1995
Synthliboramphusscrippsi,,None
Synthliboramphuswumizusume,,Harrison 1983
Synthliboramphuswumizusume,,Nettleship 1996
Uriaaalge,,Southern et al 1965
Uriaaalge,,Ydenberg 1989
Uriaaalge,,Harris and Wanless 1995
Uriaaalge,,Harris and Wanless 1996
Uriaaalge,,BBL
Uriaaalge,,Bryant and Furness 1995
Uriaaalge,,Reynolds et al 2011
Uriaaalge,,Burger and Piatt 1990
Uriaaalge,,Lewis et al 2006
Urialomvia,,Gaston and Nettleship 1981
Urialomvia,,Ydenberg 1989
Urialomvia,,Gaston et al 1994
Urialomvia,,Gaston and Hipfner 2000
Urialomvia,,BBL
Anhingaanhinga,,None
Anhingamelanogaster,,None
Anhinganovaehollandiae,,None
Anhingarufa,,None
Agamiaagami,,None
Ardeaalba,,None
Ardeabrachyrhyncha,,None
Ardeacinerea,,None
Ardeacocoi,,None
Ardeagoliath,,None
Ardeaherodias,,None
Ardeahumbloti,,None
Ardeainsignis,,None
Ardeaintermedia,,None
Ardeamelanocephala,,None
Ardeapacifica,,None
Ardeaplumifera,,None
Ardeapurpurea,,None
Ardeasumatrana,,None
Ardeolabacchus,,None
Ardeolagrayii,,None
Ardeolaidae,,None
Ardeolaralloides,,None
Ardeolarufiventris,,None
Ardeolaspeciosa,,None
Botauruslentiginosus,,None
Botauruspinnatus,,None
Botauruspoiciloptilus,,None
Botaurusstellaris,,None
Bubulcusibis,,None
Butoridesstriata,,None
Calherodiusleuconotus,,None
Cochleariuscochlearius,,None
Egrettaardesiaca,,None
Egrettacaerulea,,None
Egrettaeulophotes,,None
Egrettagarzetta,,None
Egrettagularis,,None
Egrettanovaehollandiae,,None
Egrettapicata,,None
Egrettarufescens,,None
Egrettasacra,,None
Egrettathula,,None
Egrettatricolor,,None
Egrettavinaceigula,,None
Gorsachiusgoisagi,,None
Gorsachiusmagnificus,,None
Gorsachiusmelanolophus,,None
Ixobrychuscinnamomeus,,None
Ixobrychusdubius,,None
Ixobrychuseurhythmus,,None
Ixobrychusexilis,,None
Ixobrychusflavicollis,,None
Ixobrychusinvolucris,,None
Ixobrychusminutus,,None
Ixobrychusnovaezelandiae,,None
Ixobrychussinensis,,None
Ixobrychussturmii,,None
Nyctanassacarcinocatactes,,None
Nyctanassaviolacea,,None
Nycticoraxcaledonicus,,None
Nycticoraxduboisi,,None
Nycticoraxmauritianus,,None
Nycticoraxmegacephalus,,None
Nycticoraxnycticorax,,None
Pilherodiuspileatus,,None
Syrigmasibilatrix,,None
Tigriornisleucolopha,,None
Tigrisomafasciatum,,None
Tigrisomalineatum,,None
Tigrisomamexicanum,,None
Zebrilusundulatus,,None
Zonerodiusheliosylus,,None
Balaenicepsrex,,None
Burhinusbistriatus,,None
Burhinuscapensis,,None
Burhinusgrallarius,,None
Burhinusindicus,,None
Burhinusoedicnemus,,None
Burhinussenegalensis,,None
Burhinussuperciliaris,,None
Burhinusvermiculatus,,None
Esacusmagnirostris,,None
Esacusrecurvirostris,,None
