species_id,hatchling_type,foraging_nearshore,foraging_midshore,foraging_offshore,mate_fidelity,site_fidelity,coloniality,comments,username,dt
Aethia cristatella,SP,Y,,Y,,,,,grant,27/06/2016
Aethia psittacula,SP,,,Y,,,,,grant,27/06/2016
Aethia pusilla,SP,Y,,Y,,,,,grant,27/06/2016
Aethia pygmaea,SP,Y,,,,,,,grant,27/06/2016
Alca torda,SP,Y,,,,,,,grant,27/06/2016
Alle alle,SP,Y,,Y,,,,,grant,27/06/2016
Brachyramphus brevirostris,SP,Y,,,,,,,grant,27/06/2016
Brachyramphus marmoratus,SP,Y,,Y,,,,,grant,27/06/2016
Brachyramphus perdix,SP,,,,,,,,grant,27/06/2016
Cepphus carbo,SP,,,,,,,,grant,27/06/2016
Cepphus columba,SP,Y,,,,,,,grant,27/06/2016
Cepphus grylle,SP,Y,,,,,,,grant,27/06/2016
Cerorhinca monocerata,SP,Y,,Y,,,,,grant,27/06/2016
Fratercula arctica,SP,Y,,Y,,,,,grant,27/06/2016
Fratercula cirrhata,SP,,,Y,,,,,grant,27/06/2016
Fratercula corniculata,SP,,,Y,,,,,grant,27/06/2016
Pinguinus impennis,SP,,,,,,,,grant,27/06/2016
Ptychoramphus aleuticus,SP,Y,,Y,,,,,grant,27/06/2016
Synthliboramphus antiquus,P,Y,,Y,,,,,grant,27/06/2016
Synthliboramphus craveri,P,,,,,,,,grant,27/06/2016
Synthliboramphus hypoleucus,P,,,Y,,,,,grant,27/06/2016
Synthliboramphus scrippsi,,,,,,,,,grant,27/06/2016
Synthliboramphus wumizusume,P,,Y,,,,,,grant,27/06/2016
Uria aalge,SP,Y,,Y,,,,,grant,27/06/2016
Uria lomvia,SP,Y,,Y,,,,,grant,27/06/2016
Anhinga anhinga,,,,,,,,,grant,27/06/2016
Anhinga melanogaster,,,,,,,,,grant,27/06/2016
Anhinga novaehollandiae,,,,,,,,,grant,27/06/2016
Anhinga rufa,,,,,,,,,grant,27/06/2016
Agamia agami,,,,,,,,,grant,27/06/2016
Ardea alba,,,,,,,,,grant,27/06/2016
Ardea brachyrhyncha,,,,,,,,,grant,27/06/2016
Ardea cinerea,,,,,,,N,,grant,27/06/2016
Ardea cocoi,,,,,,,,,grant,27/06/2016
Ardea goliath,,,,,,,,,grant,27/06/2016
Ardea herodias,,,,,,,,,grant,27/06/2016
Ardea humbloti,,,,,,,,,grant,27/06/2016
Ardea insignis,,,,,,,,,grant,27/06/2016
Ardea intermedia,,,,,,,Y,,grant,27/06/2016
Ardea melanocephala,,,,,,,,,grant,27/06/2016
Ardea pacifica,,,,,,,,,grant,27/06/2016
Ardea plumifera,,,,,,,N,,grant,27/06/2016
Ardea purpurea,,,,,,,,,grant,27/06/2016
Ardea sumatrana,,,,,,,Y,,grant,27/06/2016
Ardeola bacchus,,,,,,,,,grant,27/06/2016
Ardeola grayii,,,,,,,,,grant,27/06/2016
Ardeola idae,,,,,,,,,grant,27/06/2016
Ardeola ralloides,,,,,,,Y/N,,grant,27/06/2016
Ardeola rufiventris,,,,,,,N,,grant,27/06/2016
Ardeola speciosa,,,,,,,,,grant,27/06/2016
Botaurus lentiginosus,,,,,,,,,grant,27/06/2016
Botaurus pinnatus,,,,,,,,,grant,27/06/2016
Botaurus poiciloptilus,,,,,,,,,grant,27/06/2016
Botaurus stellaris,,,,,,,,,grant,27/06/2016
Bubulcus ibis,,,,,,,N,,grant,27/06/2016
Butorides striata,,,,,,,,,grant,27/06/2016
Calherodius leuconotus,,,,,,,,,grant,27/06/2016
Cochlearius cochlearius,,,,,,,,,grant,27/06/2016
Egretta ardesiaca,,,,,,,,,grant,27/06/2016
Egretta caerulea,,,,,,,,,grant,27/06/2016
Egretta eulophotes,,,,,,,,,grant,27/06/2016
Egretta garzetta,,,,,,,Y,,grant,27/06/2016
Egretta gularis,,,,,,,,,grant,27/06/2016
Egretta novaehollandiae,,,,,,,,,grant,27/06/2016
Egretta picata,,,,,,,,,grant,27/06/2016
Egretta rufescens,,,,,,,,,grant,27/06/2016
Egretta sacra,,,,,,,,,grant,27/06/2016
Egretta thula,,,,,,,,,grant,27/06/2016
Egretta tricolor,,,,,,,N,,grant,27/06/2016
Egretta vinaceigula,,,,,,,,,grant,27/06/2016
Gorsachius goisagi,,,,,,,,,grant,27/06/2016
Gorsachius magnificus,,,,,,,,,grant,27/06/2016
