species_id,nearshore,nsplus,offshore
Aethia cristatella,NS,,OS
Aethia psittacula,,,OS
Aethia pusilla,NS,,OS
Aethia pygmaea,NS,,
Alca torda,NS,,
Alle alle,NS,,OS
Brachyramphus brevirostris,NS,,
Brachyramphus marmoratus,NS,,OS
Brachyramphus perdix,,,
Cepphus carbo,,,
Cepphus columba,NS,,
Cepphus grylle,NS,,
Cerorhinca monocerata,NS,,OS
Fratercula arctica,NS,,OS
Fratercula cirrhata,,,OS
Fratercula corniculata,,,OS
Pinguinus impennis,,,
Ptychoramphus aleuticus,NS,,OS
Synthliboramphus antiquus,NS,,OS
Synthliboramphus craveri,,,
Synthliboramphus hypoleucus,,,OS
Synthliboramphus scrippsi,,,
Synthliboramphus wumizusume,,NS+,
Uria aalge,NS,,OS
Uria lomvia,NS,,OS
Anhinga anhinga,,,
Anhinga melanogaster,,,
Anhinga novaehollandiae,,,
Anhinga rufa,,,
Agamia agami,,,
Ardea alba,,,
Ardea brachyrhyncha,,,
Ardea cinerea,,,
Ardea cocoi,,,
Ardea goliath,,,
Ardea herodias,,,
Ardea humbloti,,,
Ardea insignis,,,
Ardea intermedia,,,
Ardea melanocephala,,,
Ardea pacifica,,,
Ardea plumifera,,,
Ardea purpurea,,,
Ardea sumatrana,,,
Ardeola bacchus,,,
Ardeola grayii,,,
Ardeola idae,,,
Ardeola ralloides,,,
Ardeola rufiventris,,,
Ardeola speciosa,,,
Botaurus lentiginosus,,,
Botaurus pinnatus,,,
Botaurus poiciloptilus,,,
Botaurus stellaris,,,
Bubulcus ibis,,,
Butorides striata,,,
Calherodius leuconotus,,,
Cochlearius cochlearius,,,
Egretta ardesiaca,,,
Egretta caerulea,,,
Egretta eulophotes,,,
Egretta garzetta,,,
Egretta gularis,,,
Egretta novaehollandiae,,,
Egretta picata,,,
Egretta rufescens,,,
Egretta sacra,,,
Egretta thula,,,
Egretta tricolor,,,
Egretta vinaceigula,,,
Gorsachius goisagi,,,
Gorsachius magnificus,,,
Gorsachius melanolophus,,,
Ixobrychus cinnamomeus,,,
Ixobrychus dubius,,,
Ixobrychus eurhythmus,,,
Ixobrychus exilis,,,
Ixobrychus flavicollis,,,
Ixobrychus involucris,,,
Ixobrychus minutus,,,
Ixobrychus novaezelandiae,,,
Ixobrychus sinensis,,,
Ixobrychus sturmii,,,
Nyctanassa carcinocatactes,,,
Nyctanassa violacea,,,
Nycticorax caledonicus,,,
Nycticorax duboisi,,,
Nycticorax mauritianus,,,
Nycticorax megacephalus,,,
Nycticorax nycticorax,,,
Pilherodius pileatus,,,
Syrigma sibilatrix,,,
Tigriornis leucolopha,,,
Tigrisoma fasciatum,,,
Tigrisoma lineatum,,,
Tigrisoma mexicanum,,,
Zebrilus undulatus,,,
Zonerodius heliosylus,,,
Balaeniceps rex,,,
Burhinus bistriatus,,,
Burhinus capensis,,,
Burhinus grallarius,,,
Burhinus indicus,,,
Burhinus oedicnemus,,,
Burhinus senegalensis,,,
Burhinus superciliaris,,,
Burhinus vermiculatus,,,
