sst_id,feature_id,species_id,cite_id
1,1,Aethiacristatella,citation314
2,1,Aethiacristatella,citation211
3,1,Aethiacristatella,citation149
4,1,Aethiacristatella,citation99
5,2,Aethiapsittacula,citation62
6,2,Aethiapsittacula,citation314
7,2,Aethiapsittacula,citation189
8,3,Aethiapusilla,citation243
9,3,Aethiapusilla,citation62
10,3,Aethiapusilla,citation314
11,3,Aethiapusilla,citation150
12,3,Aethiapusilla,citation148
13,4,Aethiapygmaea,citation47
14,4,Aethiapygmaea,citation189
15,4,Aethiapygmaea,citation140
16,5,Alcatorda,citation62
17,5,Alcatorda,citation123
18,5,Alcatorda,citation314
19,5,Alcatorda,citation99
20,5,Alcatorda,citation159
21,5,Alcatorda,citation35
22,6,Allealle,citation62
23,6,Allealle,citation99
24,6,Allealle,citation314
25,7,Brachyramphusbrevirostris,citation314
26,7,Brachyramphusbrevirostris,citation189
27,7,Brachyramphusbrevirostris,citation68
28,8,Brachyramphusmarmoratus,citation62
29,8,Brachyramphusmarmoratus,citation314
30,8,Brachyramphusmarmoratus,citation188
31,8,Brachyramphusmarmoratus,citation187
32,8,Brachyramphusmarmoratus,citation203
33,8,Brachyramphusmarmoratus,citation19
34,9,Brachyramphusperdix,citation189
35,10,Cepphuscarbo,citation126
36,10,Cepphuscarbo,citation189
37,11,Cepphuscolumba,citation62
38,11,Cepphuscolumba,citation314
39,11,Cepphuscolumba,citation88
40,11,Cepphuscolumba,citation291
41,11,Cepphuscolumba,citation16
42,12,Cepphusgrylle,citation207
43,12,Cepphusgrylle,citation62
44,12,Cepphusgrylle,citation314
45,12,Cepphusgrylle,citation16
46,13,Cerorhincamonocerata,citation300
47,13,Cerorhincamonocerata,citation314
48,13,Cerorhincamonocerata,citation99
49,13,Cerorhincamonocerata,citation97
50,13,Cerorhincamonocerata,citation16
51,14,Fraterculaarctica,citation8
52,14,Fraterculaarctica,citation62
53,14,Fraterculaarctica,citation314
54,14,Fraterculaarctica,citation35
55,14,Fraterculaarctica,citation16
56,14,Fraterculaarctica,citation29
57,15,Fraterculacirrhata,citation126
58,15,Fraterculacirrhata,citation62
59,15,Fraterculacirrhata,citation314
60,15,Fraterculacirrhata,citation189
61,16,Fraterculacorniculata,citation62
62,16,Fraterculacorniculata,citation314
63,16,Fraterculacorniculata,citation189
64,17,Pinguinusimpennis,citation172
65,18,Ptychoramphusaleuticus,citation62
66,18,Ptychoramphusaleuticus,citation314
67,18,Ptychoramphusaleuticus,citation164
