feature_id,species_id,female_mass_mean,female_mass_range,female_mass_uncertainty,male_mass_mean,male_mass_range,male_mass_uncertainty,culmen_mean,culmen_range,culmen_uncertainty,tarsus_mean,tarsus_range,tarsus_uncertainty,tail_mean,tail_range,tail_uncertainty,bmr_mean,bmr_range,bmr_uncertainty,rmr_mean,rmr_range,rmr_uncertainty,dee_mean,dee_range,dee_uncertainty,clutch_size_mean,clutch_size_range,clutch_size_uncertainty,egg_mass_mean,egg_mass_range,egg_mass_uncertainty,incubation_period_mean,incubation_period_range,incubation_period_uncertainty,fledging_period_mean,fledging_period_range,fledging_period_uncertainty,reproductive_success_mean,reproductive_success_range,reproductive_success_uncertainty,hatching_success_mean,hatching_success_range,hatching_success_uncertainty,fledging_success_mean,fledging_success_range,fledging_success_uncertainty,max_growth_mean,max_growth_range,max_growth_uncertainty,feeds_per_day_mean,feeds_per_day_range,feeds_per_day_uncertainty,post_fledge_care_mean,post_fledge_care_range,post_fledge_care_uncertainty,fledgling_mass_mean,fledgling_mass_range,fledgling_mass_uncertainty,ratio_fledgling_to_adult_mean,ratio_fledgling_to_adult_range,ratio_fledgling_to_adult_uncertainty,wing_loading_mean,wing_loading_range,wing_loading_uncertainty,aspect_ratio_mean,aspect_ratio_range,aspect_ratio_uncertainty,first_year_survival_mean,first_year_survival_range,first_year_survival_uncertainty,second_year_survival_mean,second_year_survival_range,second_year_survival_uncertainty,survival_to_breeding_mean,survival_to_breeding_range,survival_to_breeding_uncertainty,age_first_breed_mean,age_first_breeding_range,age_first_breed_uncertainty,migration_distance_mean,migration_distance_range,migration_distance_uncertainty,wingspan_mean,wingspan_range,wingspan_uncertainty,max_age_mean,max_age_range,max_age_uncertainty,annual_survival_mean,annual_survival_range,annual_survival_uncertainty,comments,username,dt
1,Aethia cristatella,,"[0.26,0.29]",,,"[0.26,0.29]",,,,,,,,,,,,,,,,,,,,1,,,40,,,33.8,"[29,40]",,33.2,"[27,36]",,,,,,,,,,,,"[11,13]",,,,,0,,,228,,,80,,,,,,,,,,,,,,,,,,3,,ca,,,,48,,,,,,89,,,,grant,27/06/2016
2,Aethia psittacula,0.26,"[0.26,0.28]",,,"[0.26,0.28]",,,,,,,,,,,,,,,,,,,,1,,,37,,,35,,,35,,,,,,,,,,,,10.6,,,,,,0,,,216,,,79,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,grant,27/06/2016
3,Aethia pusilla,0.084,"[0.084,0.092]",,,"[0.084,0.092]",,,,,,,,,,,,,,,,,,,,1,,,17,,,30.1,"[25,39]",,28.6,,,,,,,,,,,,,"[5.3,6]",,,,,0,,,81,,,95,,,,,,,,,,,,,,,,,,3,,,,,,33,,,,,,80.8,,,,grant,27/06/2016
4,Aethia pygmaea,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,1,,,44,,,35.5,,,40.5,"[39,42]",,65,,,84,,,73,,,,,,,,,,,,100,,,90.5,,,,,,,,,,,,,,,,,,3,,ca,,,,,,,,,,,,,,grant,27/06/2016
5,Alca torda,0.72,,,,"[0.62,0.73]",,,,,,,,,,,311,,,,,,,,,1,,,90,,,35,,,22.5,"[15,30]",,,,,,,,,,,12.3,,,,,,,,,180,,,23,,,,,,,,,,,,,,,,,,4,"[2,6]",,,,,66,,,,,,,"[88,90]",,,grant,27/06/2016
6,Alle alle,0.16,,,0.16,,,,,,,,,,,,,,,,,,,,,1,,,31,,,29,,,27.5,,,,,,,,,,,,6.5,,,,,,0,,,110,,,70,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,grant,27/06/2016
7,Brachyramphus brevirostris,,"[0.224,0.243]",,,"[0.224,0.243]",,,,,,,,,,,,,,,,,,,,1,,,34,,,30,,ca,24,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
8,Brachyramphus marmoratus,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,1,,,36,,,29,,,33.5,"[27,40]",,,,,,,,,,,,,,,,,,,,155,,,70,,,,,,,,,,"[30,60]",,,,,,,,3,,,,,,44,,,,,,,,,,grant,27/06/2016
9,Brachyramphus perdix,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"[27,40]",,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
10,Cepphus carbo,,,,,,,,,,,,,,,,,,,,,,,,,,"[1,2]",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
11,Cepphus columba,,"[0.45,0.55]",,,"[0.45,0.55]",,,,,,,,,,,,,,,,,,,,2,"[1,2]",,54,,,29,"[26,32]",,40,"[35,54]",,,,,,,,,,,,"[10,20]",,,,,0,,,423,,,91,,,,,,,,,,,,,,,,,,3,,,,,,58,,,14,,,80,,,,grant,27/06/2016
12,Cepphus grylle,0.43,"[0.3,0.53]",,0.43,"[0.37,0.5]",,,,,,,,,,,,,,,,,,,,2,"[1,2]",,50,,,29,,,36.5,"[34,39]",,,,,,,,,,,13.8,,,,,,0,,,374,,,92,,,,,,,,,,,,,,,,,,3,"[3,4]",,,,,,,,13,,,87,,,,grant,27/06/2016
13,Cerorhinca monocerata,0.456,,,0.51,,,,,,,,,,,,,,,,,,,,,1,,,77,,,44.9,"[39,52]",,,"[50,60]",,,,,,,,,,,10,,,,,,0,,,312,,,75,,,,,,,,,,,,,,,,,,3,,ca,,,,62,,,10,,,,,,,grant,27/06/2016
14,Fratercula arctica,0.51,"[0.31,0.27]",,0.48,"[0.31,0.57]",,,,,,,,,,,222,,,,,,,,,1,,,59,,,42,,,39,,,,,,,,,,,,11.2,,,,,,0,,,304,,,70,,,,,,,,,,,,,,,,,,6,,,,,,55,,,32,,,94.2,"[89,96]",,,grant,27/06/2016
15,Fratercula cirrhata,0.78,,,,"[0.755,0.83]",,,,,,,,,,,,,,,,,,,,1,,,91,,,,,,,"[47,55]",,,,,,,,,,,16.1,,,,,,,,,502,,,60,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,grant,27/06/2016
16,Fratercula corniculata,0.62,,,,"[0.49,0.69]",,,,,,,,,,,,,,,,,,,,1,,,57,,,,,,38,,,,,,,,,,,,11.1,,,,,,0,,,400,,,62,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,grant,27/06/2016
17,Pinguinus impennis,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,grant,27/06/2016
18,Ptychoramphus aleuticus,,"[0.168,0.19]",,,"[0.168,0.19]",,,,,,,,,,,,,,,,,,,,1,,,27,,,39,"[37,57]",,46,"[41,50]",,,,,,,,,,,6.2,,,,,,0,,,146,,,88,,,,,,,,,,,,,,,,,,3,"[1,4]",,,,,44,,,16,,,75,"[42,93]",,,grant,27/06/2016
19,Synthliboramphus antiquus,,"[0.206,0.214]",,,"[0.206,0.214]",,,,,,,,,,,,,,,,,,,,2,"[1,2]",,45,,,32.7,"[29,37]",,2,"[1,4]",,,,,,,,,,,,,,,,,30,,,28,,,14,,,,,,,,,,,,,,,,,,3,"[2,4]",,,,,45,,,,,,77,,,,grant,27/06/2016
20,Synthliboramphus craveri,0.15,"[0.136,0.15]",,,"[0.136,0.15]",,,,,,,,,,,,,,,,,,,,2,,,35,,,,,,2,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,grant,27/06/2016
21,Synthliboramphus hypoleucus,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,2,"[1,2]",,,,,34,"[27,44]",,2,"[1,4]",,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,3,"[2,3]",,,,,42,,,15,,,,,,,grant,27/06/2016
22,Synthliboramphus scrippsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
23,Synthliboramphus wumizusume,0.183,,,0.183,,,,,,,,,,,,,,,,,,,,,2,"[1,2]",,,,,32,"[31,33]",,2,,,,,,,,,,,,,,,,,,30,,ca,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
24,Uria aalge,1.1,"[0.87,1.3]",,1,"[0.83,1.3]",,,,,,,,,,,390,,,,,,,,,1,,,110,,,33,,,21.5,"[18,25]",,93,,,76,,,72,,,11.4,,,,,,,,yes,253,,,24,,,,,,,,,78,,,"[9,92]",,,,,,,"[4,5]",,,,,73,,,26,,,,"[87,95]",,,grant,27/06/2016
25,Uria lomvia,1,"[0.76,1.2]",,0.99,"[0.84,1.2]",,,,,,,,,,,,,,,,,,,,1,,,105,,,33,"[31,36]",,22.5,"[15,30]",,,,,,,,,,,11.5,,,,,,,"[30,60]",,190,,,22,,,,,,,,,,,,,,,,,,4,"[4,5]",,,,,,,,29,,,,"[89,90]",,,grant,27/06/2016
26,Anhinga anhinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
27,Anhinga melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
28,Anhinga novaehollandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
29,Anhinga rufa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
30,Agamia agami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
31,Ardea alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
32,Ardea brachyrhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
33,Ardea cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
34,Ardea cocoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
35,Ardea goliath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
36,Ardea herodias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
37,Ardea humbloti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
38,Ardea insignis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
39,Ardea intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
40,Ardea melanocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
41,Ardea pacifica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
