fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
1,CHARADRIIFORMES,ALCIDAE,Ptychoramphus,aleuticus,Ptychoramphus aleuticus,Ptychoramphusaleuticus,,Cassin's Auklet,,,,,,LC,,2012,decreasing,"SP,Tm","Bu,Cr",SP
2,CHARADRIIFORMES,ALCIDAE,Synthliboramphus,antiquus,Synthliboramphus antiquus,Synthliboramphusantiquus,,Ancient Murrelet,,,,,,LC,,2012,decreasing,Tm,"Bu,O",P
3,CHARADRIIFORMES,ALCIDAE,Cepphus,columba,Cepphus columba,Cepphuscolumba,,Pigeon Guillemot,,,,,,LC,,2012,stable,"SP,Tm","Cr,BU",SP
4,CHARADRIIFORMES,ALCIDAE,Aethia,pusilla,Aethia pusilla,Aethiapusilla,,Least Auklet,,,,,,LC,,2012,decreasing,"SP,Tm",Cr,SP
5,CHARADRIIFORMES,ALCIDAE,Cepphus,grylle,Cepphus grylle,Cepphusgrylle,,Black Guillemot,,,,,,LC,,2012,increasing,P-Tm,"Bu,O",SP
6,CHARADRIIFORMES,ALCIDAE,Aethia,cristatella,Aethia cristatella,Aethiacristatella,,Crested Auklet,,,,,,LC,,2012,decreasing,"SP,Tm",Cr,SP
7,CHARADRIIFORMES,ALCIDAE,Fratercula,arctica,Fratercula arctica,Fraterculaarctica,,Atlantic Puffin,,,,,,LC,,2012,decreasing,Tm,Bu,SP
8,CHARADRIIFORMES,ALCIDAE,Uria,aalge,Uria aalge,Uriaaalge,,Common Murre, Guillemot, Common Murre,,,,LC,,2012,increasing,Tm,CI,SP
9,CHARADRIIFORMES,ALCIDAE,Alca,torda,Alca torda,Alcatorda,,Razorbill,,,,,,LC,,2012,increasing,Tm,"Cr,CI",SP
10,CHARADRIIFORMES,ALCIDAE,Uria,lomvia,Uria lomvia,Urialomvia,,Thick-billed Murre, Brunnich's Guillemot,,,,,LC,,2012,increasing,P-Tm,"CI,Cr",SP
11,CHARADRIIFORMES,ALCIDAE,Cerorhinca,monocerata,Cerorhinca monocerata,Cerorhincamonocerata,,Rhinoceros Auklet,,,,,,LC,,2012,decreasing,SP-STr,Bu,SP
12,CHARADRIIFORMES,ALCIDAE,Synthliboramphus,hypoleucus,Synthliboramphus hypoleucus,Synthliboramphushypoleucus,,Guadalupe Murrelet,,,,,,EN,"B2ab(iv,v)",2014,decreasing,STr,Cr,P
13,CHARADRIIFORMES,ALCIDAE,Synthliboramphus,craveri,Synthliboramphus craveri,Synthliboramphuscraveri,Brachyramphus craveri craveri|Brachyramphus craveri craveri,Craveri's Murrelet,,,,,,VU,"B2ab(iii,v);C2a(ii)",2012,decreasing,STr,Cr,P
14,CHARADRIIFORMES,ALCIDAE,Brachyramphus,marmoratus,Brachyramphus marmoratus,Brachyramphusmarmoratus,,Marbled Murrelet,,,,,,EN,A2bc+3bc+4bc,2012,decreasing,Tm,T,SP
15,CHARADRIIFORMES,ALCIDAE,Aethia,psittacula,Aethia psittacula,Aethiapsittacula,Cyclorrhynchus psittacula psittacula|Cyclorrhynchus psittacula psittacula,Parakeet Auklet,,,,,,LC,,2012,decreasing,Tm,O,
16,CHARADRIIFORMES,ALCIDAE,Fratercula,corniculata,Fratercula corniculata,Fraterculacorniculata,,Horned Puffin,,,,,,LC,,2012,decreasing,Tm,Bu,SP
17,CHARADRIIFORMES,ALCIDAE,Fratercula,cirrhata,Fratercula cirrhata,Fraterculacirrhata,Lunda cirrhata ,Tufted Puffin,,,,,,LC,,2012,decreasing,Tm,Bu,
18,CHARADRIIFORMES,ALCIDAE,Aethia,pygmaea,Aethia pygmaea,Aethiapygmaea,,Whiskered Auklet,,,,,,LC,,2012,decreasing,Tm,Cr,SP
19,CHARADRIIFORMES,ALCIDAE,Alle,alle,Alle alle,Allealle,,Little Auk, Dovekie,,,,,LC,,2012,decreasing,P,"CI,Cr",SP
20,CHARADRIIFORMES,ALCIDAE,Pinguinus,impennis,Pinguinus impennis,Pinguinusimpennis,,Great Auk,,,,,,EX,,2012,,Tm,O,SP
21,CHARADRIIFORMES,ALCIDAE,Brachyramphus,perdix,Brachyramphus perdix,Brachyramphusperdix,,Long-billed Murrelet,,,,,,NT,,2012,decreasing,,T,SP
22,CHARADRIIFORMES,ALCIDAE,Brachyramphus,brevirostris,Brachyramphus brevirostris,Brachyramphusbrevirostris,,Kittlitz's Murrelet,,,,,,NT,,2014,decreasing,Tm,O,SP
23,CHARADRIIFORMES,ALCIDAE,Synthliboramphus,wumizusume,Synthliboramphus wumizusume,Synthliboramphuswumizusume,,Japanese Murrelet, Crested Murrelet,,,,,VU,A2cde+3cde+4cde;C2a(ii),2012,decreasing,Tm,"Cr,Bu",P
24,CHARADRIIFORMES,ALCIDAE,Cepphus,carbo,Cepphus carbo,Cepphuscarbo,,Spectacled Guillemot,,,,,,LC,,2012,decreasing,Tm,,SP
25,CHARADRIIFORMES,ALCIDAE,Synthliboramphus,scrippsi,Synthliboramphus scrippsi,Synthliboramphusscrippsi,,Scripps's Murrelet,,,,,,VU,"B2ab(iv,v)",2014,decreasing,,,
26,SULIFORMES,ANHINGIDAE,Anhinga,anhinga,Anhinga anhinga,Anhingaanhinga,,Anhinga,,,,,,LC,,2012,decreasing,,,
27,SULIFORMES,ANHINGIDAE,Anhinga,melanogaster,Anhinga melanogaster,Anhingamelanogaster,,Oriental Darter, Darter, African Darter,,,,NT,,2012,decreasing,,,
28,SULIFORMES,ANHINGIDAE,Anhinga,novaehollandiae,Anhinga novaehollandiae,Anhinganovaehollandiae,,Australasian Darter,,,,,,LC,,2012,stable,,,
29,SULIFORMES,ANHINGIDAE,Anhinga,rufa,Anhinga rufa,Anhingarufa,,African Darter, Darter,,,,,LC,,2012,decreasing,,,
30,PELECANIFORMES,ARDEIDAE,Agamia,agami,Agamia agami,Agamiaagami,,Agami Heron,,,,,,VU,A3c,2012,unknown,,,
31,PELECANIFORMES,ARDEIDAE,Ardea,alba,Ardea alba,Ardeaalba,Ardea alba|Ardea alba|Ardea alba|Casmerodius albus|Egretta alba|Egretta alba|Egretta alba|Egretta alba,Great White Egret, Great White Heron, Great White Egret,,,,LC,,2012,unknown,,,
32,PELECANIFORMES,ARDEIDAE,Ardea,brachyrhyncha,Ardea brachyrhyncha,Ardeabrachyrhyncha,,Yellow-billed Egret,,,,,,LC,,2014,decreasing,,,
33,PELECANIFORMES,ARDEIDAE,Ardea,cinerea,Ardea cinerea,Ardeacinerea,,Grey Heron, Gray Heron,,,,,LC,,2012,unknown,,,
