feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
1,Aethiacristatella,,0.26,0.29,,,0.26,0.29,,,,,,,,1,,,,40,33.8,29,40,,33.2,27,36,,,,,,11,13,,,0,,,,228,80,,,,,,3,,,ca,"NS,OS",,48,,,,,,,,89,,,,,,,grant,27/06/2016
2,Aethiapsittacula,0.26,0.26,0.28,,,0.26,0.28,,,,,,,,1,,,,37,35,,,,35,,,,,,,10.6,,,,,0,,,,216,79,,,,,,,,,,OS,,50,,,,,,,,,,,,,,,grant,27/06/2016
3,Aethiapusilla,0.084,0.084,0.092,,,0.084,0.092,,,,,,,,1,,,,17,30.1,25,39,,28.6,,,,,,,,5.3,6,,,0,,,,81,95,,,,,,3,,,,"NS,OS",,33,,,,,,,,80.8,,,,,,,grant,27/06/2016
4,Aethiapygmaea,0.12,,,,0.12,,,,,,,,,,1,,,,44,35.5,,,,40.5,39,42,,65,84,73,,,,,,,,,,100,90.5,,,,,,3,,,ca,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
5,Alcatorda,0.72,,,,,0.62,0.73,,,,,311,,,1,,,,90,35,,,,22.5,15,30,,,,,12.3,,,,,,,,,180,23,,,,,,4,2,6,,NS,,66,,,,,,,,,88,90,,,,,grant,27/06/2016
6,Allealle,0.16,,,,0.16,,,,,,,,,,1,,,,31,29,,,,27.5,,,,,,,6.5,,,,,0,,,,110,70,,,,,,5,,,,"NS,OS",,,,,,,,,,,,,,,,,grant,27/06/2016
7,Brachyramphusbrevirostris,,0.224,0.243,,,0.224,0.243,,,,,,,,1,,,,34,30,,,ca,24,,,ca,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
8,Brachyramphusmarmoratus,0.22,,,,0.22,,,,,,,,,,1,,,,36,29,,,,33.5,27,40,,,,,,,,,,,,,,155,70,,,30 - 60,,,3,,,,"NS,OS",,44,,,,,,,,,,,,,,,grant,27/06/2016
9,Brachyramphusperdix,,,,,,,,,,,,,,,1,,,,,,,,,,27,40,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
10,Cepphuscarbo,,,,,,,,,,,,,,,,1,2,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
11,Cepphuscolumba,,0.45,0.55,,,0.45,0.55,,,,,,,,2,1,2,,54,29,26,32,,40,35,54,,,,,,10,20,,,0,,,,423,91,,,,,,3,,,,NS,,58,,,,14,,,,80,,,,,,,grant,27/06/2016
12,Cepphusgrylle,0.43,0.3,0.53,,0.43,0.37,0.5,,,,,,,,2,1,2,,50,29,,,,36.5,34,39,,,,,13.8,,,,,0,,,,374,92,,,,,,3,3,4,,NS,,,,,,13,,,,87,,,,,,,grant,27/06/2016
13,Cerorhincamonocerata,0.456,,,,0.51,,,,,,,,,,1,,,,77,44.9,39,52,,,50,60,,,,,10,,,,,0,,,,312,75,,,,,,3,,,ca,"NS,OS",,62,,,,10,,,,,,,,,,,grant,27/06/2016
14,Fraterculaarctica,0.51,0.31,0.27,,0.48,0.31,0.57,,,,,222,,,1,,,,59,42,,,,39,,,,,,,11.2,,,,,0,,,,304,70,,,,,,6,,,,"NS,OS",,55,,,,32,,,,94.2,89,96,,,,,grant,27/06/2016
15,Fraterculacirrhata,0.78,,,,,0.755,0.83,,,,,,,,1,,,,91,,,,,,47,55,,,,,16.1,,,,,,,,,502,60,,,,,,,,,,OS,,66,,,,,,,,,,,,,,,grant,27/06/2016
16,Fraterculacorniculata,0.62,,,,,0.49,0.69,,,,,,,,1,,,,57,,,,,38,,,,,,,11.1,,,,,0,,,,400,62,,,,,,,,,,OS,,61,,,,,,,,,,,,,,,grant,27/06/2016
17,Pinguinusimpennis,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
18,Ptychoramphusaleuticus,,0.168,0.19,,,0.168,0.19,,,,,,,,1,,,,27,39,37,57,,46,41,50,,,,,6.2,,,,,0,,,,146,88,,,,,,3,1,4,,"NS,OS",,44,,,,16,,,,75,42,93,,,,,grant,27/06/2016
19,Synthliboramphusantiquus,,0.206,0.214,,,0.206,0.214,,,,,,,,2,1,2,,45,32.7,29,37,,2,1,4,,,,,,,,,,30,,,,28,14,,,,,,3,2,4,,"NS,OS",,45,,,,,,,,77,,,,,,,grant,27/06/2016
20,Synthliboramphuscraveri,0.15,0.136,0.15,,,0.136,0.15,,,,,,,,2,,,,35,,,,,2,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,grant,27/06/2016
21,Synthliboramphushypoleucus,0.17,,,,0.17,,,,,,,,,,2,1,2,,,34,27,44,,2,1,4,,,,,,,,,,,,,yes,,,,,,,,3,2,3,,OS,,42,,,,15,,,,,,,,,,,grant,27/06/2016
22,Synthliboramphusscrippsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
23,Synthliboramphuswumizusume,0.183,,,,0.183,,,,,,,,,,2,1,2,,,32,31,33,,2,,,,,,,,,,,,30,,,ca,22,,,,,,,,,,,NS+,,,,,,,,,,,,,,,,,grant,27/06/2016
