species_id,breeding_distribution,bd2
Aethia cristatella,SP,Tm
Aethia psittacula,Tm,
Aethia pusilla,SP,Tm
Aethia pygmaea,Tm,
Alca torda,Tm,
Alle alle,P,
Brachyramphus brevirostris,Tm,
Brachyramphus marmoratus,Tm,
Brachyramphus perdix,unknown,
Cepphus carbo,Tm,
Cepphus columba,SP,Tm
Cepphus grylle,P-Tm,
Cerorhinca monocerata,SP-STr,
Fratercula arctica,Tm,
Fratercula cirrhata,Tm,
Fratercula corniculata,Tm,
Pinguinus impennis,Tm,
Ptychoramphus aleuticus,SP,Tm
Synthliboramphus antiquus,Tm,
Synthliboramphus craveri,STr,
Synthliboramphus hypoleucus,STr,
Synthliboramphus scrippsi,unknown,
Synthliboramphus wumizusume,Tm,
Uria aalge,Tm,
Uria lomvia,P-Tm,
Anhinga anhinga,unknown,
Anhinga melanogaster,unknown,
Anhinga novaehollandiae,unknown,
Anhinga rufa,unknown,
Agamia agami,unknown,
Ardea alba,unknown,
Ardea brachyrhyncha,unknown,
Ardea cinerea,unknown,
Ardea cocoi,unknown,
Ardea goliath,unknown,
Ardea herodias,unknown,
Ardea humbloti,unknown,
Ardea insignis,unknown,
Ardea intermedia,unknown,
Ardea melanocephala,unknown,
Ardea pacifica,unknown,
Ardea plumifera,unknown,
Ardea purpurea,unknown,
Ardea sumatrana,unknown,
Ardeola bacchus,unknown,
Ardeola grayii,unknown,
Ardeola idae,unknown,
Ardeola ralloides,unknown,
Ardeola rufiventris,unknown,
Ardeola speciosa,unknown,
Botaurus lentiginosus,unknown,
Botaurus pinnatus,unknown,
Botaurus poiciloptilus,unknown,
Botaurus stellaris,unknown,
Bubulcus ibis,unknown,
Butorides striata,unknown,
Calherodius leuconotus,unknown,
Cochlearius cochlearius,unknown,
Egretta ardesiaca,unknown,
Egretta caerulea,unknown,
Egretta eulophotes,unknown,
Egretta garzetta,unknown,
Egretta gularis,unknown,
Egretta novaehollandiae,unknown,
Egretta picata,unknown,
Egretta rufescens,unknown,
Egretta sacra,unknown,
Egretta thula,unknown,
Egretta tricolor,unknown,
Egretta vinaceigula,unknown,
Gorsachius goisagi,unknown,
Gorsachius magnificus,unknown,
Gorsachius melanolophus,unknown,
Ixobrychus cinnamomeus,unknown,
Ixobrychus dubius,unknown,
Ixobrychus eurhythmus,unknown,
Ixobrychus exilis,unknown,
Ixobrychus flavicollis,unknown,
Ixobrychus involucris,unknown,
Ixobrychus minutus,unknown,
Ixobrychus novaezelandiae,unknown,
Ixobrychus sinensis,unknown,
Ixobrychus sturmii,unknown,
Nyctanassa carcinocatactes,unknown,
Nyctanassa violacea,unknown,
Nycticorax caledonicus,unknown,
Nycticorax duboisi,unknown,
Nycticorax mauritianus,unknown,
Nycticorax megacephalus,unknown,
Nycticorax nycticorax,unknown,
